,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gaussian,0.93627375,0.05853834699002141,6.072302240506955,2.7396536879580498,2.6233501357833804,0.0004605526924133301
1,0.1,2,50,500,Gaussian,0.9205399999999999,0.05261240198075325,4.834482194539124,1.5816255289470944,2.3046644844648676,0.0003820810317993164
2,0.1,2,100,500,Gaussian,0.9031125,0.040135040634381405,4.091383598584343,0.8237606726757954,2.1033461951829793,0.00041498327255249024
3,0.1,2,300,500,Gaussian,0.9015675000000001,0.02587165565600249,3.9025959277189206,0.44660346975331755,2.037808431072837,0.000429774284362793
4,0.1,2,500,500,Gaussian,0.9003362500000001,0.01886206237349095,3.839150899984751,0.3165792596215167,2.00697604184254,0.0004605116844177246
5,0.1,4,30,500,Gaussian,0.93580125,0.061809798937359876,76.16006286742939,81.53380240191449,3.2693482216181353,0.00044524765014648435
6,0.1,4,50,500,Gaussian,0.92569125,0.050534850568012595,44.97041978521844,26.860719284987145,2.8762259782949315,0.00038723897933959963
7,0.1,4,100,500,Gaussian,0.9064300000000001,0.03917358231772027,29.9707491145459,10.32662724843773,2.556650216648624,0.0004349727630615234
8,0.1,4,300,500,Gaussian,0.9035550000000001,0.022884253113902627,25.987101115840094,4.448999191640425,2.38661011954569,0.0004452695846557617
9,0.1,4,500,500,Gaussian,0.9024125,0.019571039380033694,25.377145525254303,3.5485783553940644,2.3445750124230695,0.00047530364990234375
10,0.1,10,30,500,Gaussian,0.9352312500000001,0.06262464118503681,1613785.9464329754,12565690.733718697,4.282241867788288,0.0004228682518005371
11,0.1,10,50,500,Gaussian,0.9188987500000001,0.05434595196219176,115320.47642589408,483601.1113493448,3.643332031004669,0.00041363716125488283
12,0.1,10,100,500,Gaussian,0.89999125,0.04443728078465838,24290.395725410435,23357.39776741231,3.12278462038417,0.0004147686958312988
13,0.1,10,300,500,Gaussian,0.89919,0.025517075504151512,15006.76775912531,5635.860955613068,2.846272866635596,0.0004649128913879395
14,0.1,10,500,500,Gaussian,0.8997312500000001,0.021687132547290516,13930.593052099777,4352.156905048409,2.7793052223929475,0.0004699230194091797
15,0.1,15,30,500,Gaussian,0.9379887499999999,0.0588965816652478,17119099705.24419,210421136853.4265,4.863520392894543,0.00047093915939331053
16,0.1,15,50,500,Gaussian,0.91870875,0.051953349321279554,107405993.1055923,540716274.1705648,3.875314786833804,0.0005058341026306152
17,0.1,15,100,500,Gaussian,0.89819,0.04206753281491878,9287835.477890825,11357936.000660991,3.374494488547959,0.0004687681198120117
18,0.1,15,300,500,Gaussian,0.8935162499999999,0.026278926798384478,3939408.251890762,2138861.6046694205,3.024676942706894,0.0005147767066955567
19,0.1,15,500,500,Gaussian,0.8951212499999999,0.02053746496337227,3623481.8659145962,1438568.889806597,2.9513199826044234,0.000540520191192627
20,0.1,20,30,500,Gaussian,0.9379712499999999,0.05975746806606547,574416447816094.5,8914216371848169.0,5.1946508848464585,0.00042150020599365237
21,0.1,20,50,500,Gaussian,0.9199862499999999,0.052829409875400524,37946681042646.17,845086740971899.5,4.197438040605389,0.0004657745361328125
22,0.1,20,100,500,Gaussian,0.9004825,0.04181164456215498,4335421961.810346,9568222286.010014,3.5199241068921387,0.00046885061264038085
23,0.1,20,300,500,Gaussian,0.9028275,0.025630860320159033,1433396762.9752607,1054385981.4167126,3.1686810657498508,0.0005399470329284669
24,0.1,20,500,500,Gaussian,0.90101125,0.019964860593164907,1115370163.8217208,535253160.8000004,3.0661428218823032,0.0005162105560302734
