,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gaussian,0.91146875,0.0463740505835443,8.762923658521947,2.0454117472581026,4.159407239785652,0.0006205785274505615
1,0.1,2,50,200,Gaussian,0.9060812500000001,0.039813513443314755,8.235690902568285,1.5345446331306767,4.02053510002896,0.0006635379791259765
2,0.1,2,100,200,Gaussian,0.9073875000000001,0.02779335876531094,8.111954972887622,1.0865782331629323,4.05289737871829,0.0007417142391204834
3,0.1,2,300,200,Gaussian,0.901365625,0.018592943296760672,7.730847307794562,0.6275528363904221,3.953416073507052,0.000927356481552124
4,0.1,2,500,200,Gaussian,0.9021937499999999,0.014055814295695407,7.685416190253441,0.45609517473700495,3.9277420956226416,0.0011166787147521972
5,0.1,10,30,200,Gaussian,0.9096625,0.053240907403100564,183021979455.90594,274225714914.4925,29.113139076574672,0.0021624720096588136
6,0.1,10,50,200,Gaussian,0.9042718750000001,0.04671788062627014,94208110452.24988,88177989089.29047,26.955223278206113,0.0025138890743255614
7,0.1,10,100,200,Gaussian,0.9025968749999999,0.03407190482053908,65925556793.534355,34312908408.002373,26.493412939153757,0.0030873644351959227
8,0.1,10,300,200,Gaussian,0.8988093749999999,0.017698266395367142,49335605904.29828,11725805060.864206,25.95260732529529,0.004599506855010986
9,0.1,10,500,200,Gaussian,0.9006406250000001,0.01625609152109096,48102240609.35574,9671554670.41857,25.890429314837995,0.0059098005294799805
