,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gaussian,0.91146875,0.0463740505835443,4.381461829260972,1.0227058736290493,2.246391913798133,0.0006570124626159668
1,0.1,2,50,200,Gaussian,0.9060812500000001,0.039813513443314755,4.117845451284143,0.7672723165653367,2.138222554291306,0.00067352294921875
2,0.1,2,100,200,Gaussian,0.9073875000000001,0.02779335876531094,4.055977486443812,0.5432891165814681,2.093639327196725,0.0007628130912780761
3,0.1,2,300,200,Gaussian,0.901365625,0.018592943296760672,3.8654236538972793,0.3137764181952064,2.0053717404133096,0.0008649790287017823
4,0.1,2,500,200,Gaussian,0.9021937499999999,0.014055814295695407,3.8427080951267247,0.22804758736850375,1.9961014419862915,0.001120598316192627
5,0.1,10,30,200,Gaussian,0.9096625,0.053240907403100564,50435.95112872079,75569.25565324469,3.4524210139237645,0.0021152734756469727
6,0.1,10,50,200,Gaussian,0.9042718750000001,0.04671788062627014,25961.22973221178,24299.489938626906,3.1482997723010318,0.0024940145015716554
7,0.1,10,100,200,Gaussian,0.9025968749999999,0.03407190482053908,18167.31613578455,9455.717705027053,2.9372428551782184,0.0031101667881011964
8,0.1,10,300,200,Gaussian,0.8988093749999999,0.017698266395367142,13595.570410135137,3231.3175322045727,2.7582808379643775,0.0042874813079833984
9,0.1,10,500,200,Gaussian,0.9006406250000001,0.01625609152109096,13255.687998609988,2665.221194449613,2.7118501321992685,0.005625722408294678
