,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Laplace,0.9380499999999999,0.04106679278747302,31.462405500487538,14.40649808015751,7.545314832435297,3.519535064697266e-05
1,0.1,2,50,200,Laplace,0.92750625,0.03490806921283877,24.88660519090047,7.50139950020816,6.839398742042489,3.521919250488281e-05
2,0.1,2,100,200,Laplace,0.906946875,0.02898162766425868,19.351065617674838,4.103994142832988,6.150773877390151,4.534602165222168e-05
3,0.1,2,300,200,Laplace,0.904646875,0.016172090182276787,18.33368494954923,2.080674216521781,5.97550181860262,5.765438079833984e-05
4,0.1,2,500,200,Laplace,0.906096875,0.014451130812784728,18.32644121810291,1.7588916959521252,6.034490176751847,7.041335105895996e-05
5,0.1,10,30,200,Laplace,1.0,0.0,inf,,inf,5.009889602661133e-05
6,0.1,10,50,200,Laplace,1.0,0.0,inf,,inf,5.528450012207031e-05
7,0.1,10,100,200,Laplace,0.8999625,0.029333281880474897,50547592018400.36,39992597792314.61,56.25199992996862,6.514787673950195e-05
8,0.1,10,300,200,Laplace,0.9007,0.01747098725683936,22762404096127.305,8898322110636.727,49.60088043099164,0.00014583587646484374
9,0.1,10,500,200,Laplace,0.901334375,0.015491157600495582,20077574146865.69,6660444797403.001,47.87484618913649,0.0002362525463104248
