,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Laplace,0.94135625,0.060512594921704445,43.52044501778104,37.29378465142504,8.196144681090779,0.00045471906661987305
1,0.1,2,50,200,Laplace,0.9261781249999999,0.0525303579933922,29.048366961426982,15.99923739766196,7.1930284020660835,0.00034711122512817385
2,0.1,2,100,200,Laplace,0.9007437500000001,0.04012770081628784,19.596860617441298,5.6594868982190745,6.256962747227236,0.00043599605560302735
3,0.1,2,300,200,Laplace,0.9027375,0.023756574731320677,18.418646400245738,3.0421773399396703,6.022636931654014,0.0004814314842224121
4,0.1,2,500,200,Laplace,0.9029625,0.018799478268447484,18.13568613664702,2.3256011767247955,6.01856144607418,0.0003993344306945801
5,0.1,4,30,200,Laplace,0.93864375,0.058529775083234085,38888.435633929854,79001.90458483814,22.844533048590613,0.0004511189460754395
6,0.1,4,50,200,Laplace,0.9235562500000001,0.055316350865298076,12726.005538429203,11348.888768336543,18.717901585681656,0.00037349939346313475
7,0.1,4,100,200,Laplace,0.9050281250000001,0.04252850144946398,6200.819827693517,2993.7816347472863,15.481601376861743,0.0003686094284057617
8,0.1,4,300,200,Laplace,0.902309375,0.025668756113932708,4846.554926928793,1506.3318291666023,14.762983228356655,0.00041362881660461426
9,0.1,4,500,200,Laplace,0.901896875,0.020129173923027557,4552.805413735612,993.6591375869343,14.794378297511452,0.00040640711784362794
10,0.1,10,30,200,Laplace,0.9381499999999999,0.062333787781958444,5.273068848073216e+16,2.8007357069290554e+17,83.30108433840414,0.0003768026828765869
11,0.1,10,50,200,Laplace,0.922396875,0.04964678859400539,822908616726945.9,3178479330136090.0,66.0933833383443,0.0004016125202178955
12,0.1,10,100,200,Laplace,0.8979718750000001,0.03905856123358313,53003155973734.48,68124774754695.44,53.73310000161882,0.0005121064186096191
13,0.1,10,300,200,Laplace,0.8944187499999999,0.024608070252362866,20949530811520.227,14229545647941.688,48.065438466891706,0.0004924249649047852
14,0.1,10,500,200,Laplace,0.8968125,0.020600097270102598,18918598457563.797,9081853871351.92,47.32320922237625,0.0005400562286376953
15,0.1,15,30,200,Laplace,0.9304468749999999,0.06537716054912991,1.6656699707764185e+29,2.1650047282703415e+30,138.9856190021772,0.000419687032699585
16,0.1,15,50,200,Laplace,0.9260968749999999,0.05351541428588894,1.7366105838503907e+26,1.3264129037666694e+27,112.91923457796847,0.0004874527454376221
17,0.1,15,100,200,Laplace,0.9049875000000001,0.04196516113091571,5.796127085097536e+23,1.5990177292364656e+24,90.18276332034347,0.0004209554195404053
18,0.1,15,300,200,Laplace,0.9013781249999999,0.02479210809873318,6.936258638663892e+22,7.99564811788487e+22,79.26435743786948,0.0005058574676513671
19,0.1,15,500,200,Laplace,0.9031437500000001,0.019773560107734036,5.373224557370652e+22,3.577541698747506e+22,77.15294784893163,0.0004448676109313965
20,0.1,20,30,200,Laplace,0.94063125,0.0570445003795745,5.303233825355016e+41,6.469681007160356e+42,214.1989098178617,0.00045705556869506835
21,0.1,20,50,200,Laplace,0.923734375,0.05046406182038295,3.5388609607612506e+36,1.4232246927941355e+37,165.4296544156112,0.000433957576751709
22,0.1,20,100,200,Laplace,0.9053187500000002,0.042447221422253885,9.3347754126684e+34,4.666819157420795e+35,131.12446611008147,0.0004513084888458252
23,0.1,20,300,200,Laplace,0.905571875,0.02413368480091102,1.9620086678559267e+33,2.2218966856117068e+33,112.52464780107645,0.0004182517528533936
24,0.1,20,500,200,Laplace,0.906278125,0.01913530996736427,1.2241676265209733e+33,1.0207781062563509e+33,111.03064751592467,0.0005032312870025635
