,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Laplace,0.941728125,0.0576650589153251,42.5072918194911,36.316657950251376,7.959965835573744,0.0004821765422821045
1,0.1,2,50,200,Laplace,0.925715625,0.05163837391939809,28.313230613493314,15.420588061792884,7.149237115232825,0.00042475223541259765
2,0.1,2,100,200,Laplace,0.9009156250000001,0.03976112707615575,19.41162082281903,5.49957691361686,6.143732948479761,0.00048250079154968264
3,0.1,2,300,200,Laplace,0.9025968749999999,0.023855812416255555,18.337981632046024,3.0200361400705518,6.04980854256617,0.00043991804122924807
4,0.1,2,500,200,Laplace,0.902784375,0.01887882851409744,18.051453833517318,2.3185335259150124,5.984224770913334,0.0005398643016815186
5,0.1,4,30,200,Laplace,0.93934375,0.05784888251495135,36968.56556046907,76118.4123106415,22.079423786711228,0.0004096293449401855
6,0.1,4,50,200,Laplace,0.923034375,0.055517013692027585,12174.09446598382,10955.081460553492,18.169453562656997,0.00035663723945617676
7,0.1,4,100,200,Laplace,0.90471875,0.04184509404236741,5968.353317701877,2782.6880437199543,15.467660306948652,0.00044748425483703613
8,0.1,4,300,200,Laplace,0.901903125,0.025583662384702607,4767.8758375417165,1477.9370760798697,14.747980926662906,0.0004500734806060791
9,0.1,4,500,200,Laplace,0.90145625,0.020722664495825157,4505.8499605403285,992.7529162829278,14.75714748993736,0.00048241376876831057
10,0.1,10,30,200,Laplace,0.937725,0.06291439381010089,4.364648247582101e+16,2.1788402079893994e+17,78.18170189197772,0.0004617702960968018
11,0.1,10,50,200,Laplace,0.9213968750000001,0.05083898713264003,721132192282238.4,2697189718832215.0,64.23128782896615,0.0004119467735290527
12,0.1,10,100,200,Laplace,0.89720625,0.03937163032961117,46903294407833.48,62645612787717.984,52.72135036095169,0.0004619729518890381
13,0.1,10,300,200,Laplace,0.8943968749999999,0.023949045041533116,20071247080836.46,13437075690215.098,47.36092680990231,0.0004979372024536133
14,0.1,10,500,200,Laplace,0.8964531250000001,0.021012840943861806,18399648852820.56,8803841138047.201,46.86181699114065,0.000552898645401001
15,0.1,15,30,200,Laplace,0.9307156249999999,0.062358992867441204,1.4968115220911307e+29,1.963146744862704e+30,132.63109872937375,0.0004138517379760742
16,0.1,15,50,200,Laplace,0.92655,0.052985793819982245,1.476235433183868e+26,1.1398690693105553e+27,108.76615802624224,0.0004761791229248047
17,0.1,15,100,200,Laplace,0.905690625,0.04160887731109582,4.9611944366487985e+23,1.433666255898162e+24,88.88513583645536,0.0004658842086791992
18,0.1,15,300,200,Laplace,0.901978125,0.02500477164732864,6.653280683886018e+22,7.503098597043994e+22,78.89134536887354,0.00046132802963256837
19,0.1,15,500,200,Laplace,0.9032656250000001,0.020041124245899305,5.190508306149667e+22,3.4068540563210914e+22,76.47714360459187,0.0005294787883758545
20,0.1,20,30,200,Laplace,0.9400093749999999,0.0591446197507574,2.4830940733247733e+41,2.787623129617317e+42,199.00242159014266,0.000512540340423584
21,0.1,20,50,200,Laplace,0.9233343749999999,0.05079550423251602,2.727970476113995e+36,1.2461768999070937e+37,158.2485443708925,0.000460127592086792
22,0.1,20,100,200,Laplace,0.9052687500000001,0.04313674235664089,8.169595027184195e+34,4.5309663157977025e+35,127.07262421068349,0.00045006513595581056
23,0.1,20,300,200,Laplace,0.9059875,0.024073060643460327,1.8263216309700534e+33,2.0269932038825296e+33,111.81176396415144,0.0005329442024230957
24,0.1,20,500,200,Laplace,0.9065156250000002,0.019213230633897353,1.2009105038170253e+33,1.088581224295845e+33,110.33383866124666,0.0005975544452667236
