,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Laplace,0.919178125,0.04961051099429384,24.794035123851117,10.705224626734283,6.712236558266191,0.00024893045425415037
1,0.1,2,50,200,Laplace,0.91265,0.037906001500405496,21.423142818365992,6.434918680427395,6.3161364619415785,0.000202486515045166
2,0.1,2,100,200,Laplace,0.906084375,0.029692432313094756,19.21523820219827,4.236270402408308,6.132404946693526,0.0002725064754486084
3,0.1,2,300,200,Laplace,0.90345625,0.016284259160907442,18.069949626986997,1.9889246453500768,5.973850708736178,0.0002926421165466309
4,0.1,2,500,200,Laplace,0.904784375,0.014977290899821112,18.11769701886446,1.8072458751714988,6.009476823092546,0.0003702366352081299
5,0.1,10,30,200,Laplace,0.911096875,0.059915190057341985,365284802077020.8,1077411102842215.6,59.133395405606606,0.0002698826789855957
6,0.1,10,50,200,Laplace,0.908640625,0.04457753066495835,88050481981545.81,198022019299035.47,54.046976006037326,0.00020839452743530275
7,0.1,10,100,200,Laplace,0.900103125,0.02989261674794585,27968422311859.91,21594708634036.277,49.36336094957885,0.00030151844024658205
8,0.1,10,300,200,Laplace,0.89678125,0.0176564202364275,17692749104415.605,6640571152485.211,46.78609236695016,0.0004459798336029053
9,0.1,10,500,200,Laplace,0.8965062500000001,0.01625606163518503,16534547638000.494,5775171757421.848,46.49932891126126,0.0006831037998199463
