,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Laplace,0.941728125,0.0576650589153251,42.5072918194911,36.316657950251376,7.959965835573744,0.00031155705451965334
1,0.1,2,50,200,Laplace,0.925715625,0.05163837391939809,28.313230613493314,15.420588061792884,7.149237115232825,0.0004273355007171631
2,0.1,2,100,200,Laplace,0.9009156250000001,0.03976112707615575,19.41162082281903,5.49957691361686,6.143732948479761,0.0004569864273071289
3,0.1,2,300,200,Laplace,0.9025968749999999,0.023855812416255555,18.337981632046024,3.0200361400705518,6.04980854256617,0.0005068492889404297
4,0.1,2,500,200,Laplace,0.902784375,0.01887882851409744,18.051453833517318,2.3185335259150124,5.984224770913334,0.00045623064041137694
5,0.1,10,30,200,Laplace,0.937725,0.06291439381010089,4.364648247582101e+16,2.1788402079893994e+17,78.18170189197772,0.0004861712455749512
6,0.1,10,50,200,Laplace,0.9213968750000001,0.05083898713264003,721132192282238.4,2697189718832215.0,64.23128782896615,0.0003863966464996338
7,0.1,10,100,200,Laplace,0.89720625,0.03937163032961117,46903294407833.48,62645612787717.984,52.72135036095169,0.00048628091812133787
8,0.1,10,300,200,Laplace,0.8943968749999999,0.023949045041533116,20071247080836.46,13437075690215.098,47.36092680990231,0.00045673727989196776
9,0.1,10,500,200,Laplace,0.8964531250000001,0.021012840943861806,18399648852820.56,8803841138047.201,46.86181699114065,0.0005015242099761963
