,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Laplace,0.903225,0.05071286112929932,27.37223771305863,12.317654193140573,4.961415538069053,3.0270814895629884e-05
1,0.1,2,50,200,Laplace,0.902853125,0.038786231719054584,25.463781159909757,8.479342982048552,4.918205944349371,5.037426948547363e-05
2,0.1,2,100,200,Laplace,0.90208125,0.03091422053186793,24.31376307258651,6.056642380104655,4.883566182791599,3.515720367431641e-05
3,0.1,2,300,200,Laplace,0.8997812500000001,0.018764101690428553,22.914160689636457,3.2732618903702617,4.733500834404174,4.026532173156738e-05
4,0.1,2,500,200,Laplace,0.901665625,0.014779349353776705,23.125529769298918,2.4639564785940284,4.791676104923228,8.552908897399903e-05
5,0.1,4,30,200,Laplace,0.899153125,0.05650114570243522,20644.250891826363,19755.325877757867,10.889149039047242,5.0361156463623044e-05
6,0.1,4,50,200,Laplace,0.9012468749999999,0.046580481692797465,17429.533387843036,11263.70745947225,11.02699387651841,1.5114545822143555e-05
7,0.1,4,100,200,Laplace,0.901496875,0.030698199714117014,15060.935879783989,6126.518986477404,10.93598708168043,6.542682647705079e-05
8,0.1,4,300,200,Laplace,0.8984062500000001,0.019605458896188855,13477.095897549843,3443.681745548814,10.690124225927178,0.00011045336723327636
9,0.1,4,500,200,Laplace,0.9005,0.01498219210936804,13539.917264323647,2547.5897655209305,10.741433352072036,3.517627716064453e-05
10,0.1,10,30,200,Laplace,0.8972625,0.05301859207417373,6357223479057070.0,1.9872400966366748e+16,33.25281062202261,5.01859188079834e-05
11,0.1,10,50,200,Laplace,0.90083125,0.04064594599176315,3341460525563876.0,5117874960591693.0,33.11447840182822,2.501845359802246e-05
12,0.1,10,100,200,Laplace,0.894590625,0.02924313511305821,1770461762196843.2,1777227023400555.2,32.2171594497644,5.774021148681641e-05
13,0.1,10,300,200,Laplace,0.89618125,0.017208947901509973,1375150276144387.0,708344593160959.8,32.29569389621841,6.535410881042481e-05
14,0.1,10,500,200,Laplace,0.896925,0.016520668112227542,1356947093090029.0,551342140603883.1,32.42198508504009,8.054256439208984e-05
15,0.1,15,30,200,Laplace,0.9064875000000001,0.0580739854208691,1.2727427790491378e+27,4.206057563429325e+27,54.87727852215735,4.515409469604492e-05
16,0.1,15,50,200,Laplace,0.90201875,0.04631682790762579,4.361250674365593e+26,1.3389060020962588e+27,52.719224917904256,2.0045042037963868e-05
17,0.1,15,100,200,Laplace,0.903765625,0.0315604203815105,2.040002700731991e+26,6.1747710172697334e+26,53.194210917512365,8.022904396057129e-05
18,0.1,15,300,200,Laplace,0.897421875,0.02038495123969145,7.243441421601193e+25,6.099314404269301e+25,51.88653674129951,6.0230493545532227e-05
19,0.1,15,500,200,Laplace,0.9001375,0.017172336275703116,7.195668622490803e+25,4.361375493679317e+25,52.421315586163956,9.165644645690918e-05
20,0.1,20,30,200,Laplace,0.8993875,0.055977843842508625,7.98949725490364e+38,2.5578424913074852e+39,75.31447188763222,6.0111284255981445e-05
21,0.1,20,50,200,Laplace,0.89755625,0.046079501619865376,5.082248484069942e+38,2.8311181334816964e+39,74.93976058501134,9.621143341064454e-05
22,0.1,20,100,200,Laplace,0.8982062500000001,0.03368563038462466,8.559991201366923e+37,1.864838448046798e+38,74.75013427610293,6.514906883239746e-05
23,0.1,20,300,200,Laplace,0.8987281250000001,0.019016466835717533,3.721118215490912e+37,4.416625267250936e+37,73.93096444280161,5.494475364685059e-05
24,0.1,20,500,200,Laplace,0.898409375,0.013992942504492942,2.984404474470266e+37,2.0124025633111914e+37,74.08860859672022,0.00011919617652893066
