,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Mixed,0.941165625,0.03988380567359918,18.774458904903195,6.62776027602329,4.9259727994762015,1.5034675598144532e-05
1,0.1,2,50,200,Mixed,0.927884375,0.03499863587053596,15.203537475980502,3.824519460409352,4.381185045911985,3.0226707458496094e-05
2,0.1,2,100,200,Mixed,0.9111031249999999,0.025901156085049285,12.551530313241106,2.2112879038017943,4.063161453053867,3.0078887939453124e-05
3,0.1,2,300,200,Mixed,0.9099,0.016504867372533615,12.009141366929134,1.1701335087337021,3.975452323884863,9.037256240844727e-05
4,0.1,2,500,200,Mixed,0.9102250000000001,0.014276830511259712,11.929465666647266,0.9990112878395946,3.9508146750118263,7.535338401794434e-05
5,0.1,10,30,200,Mixed,1.0,0.0,inf,,inf,3.0009746551513673e-05
6,0.1,10,50,200,Mixed,1.0,0.0,inf,,inf,5.0039291381835936e-05
7,0.1,10,100,200,Mixed,0.9039437499999999,0.028447818617743616,2138381167916.5488,1419115086082.012,29.973409011972933,6.0341358184814454e-05
8,0.1,10,300,200,Mixed,0.9047218749999999,0.018572727468995034,1172688139994.5713,457246012420.6409,26.94143359722402,0.0001603841781616211
9,0.1,10,500,200,Mixed,0.90420625,0.015073588075666467,1035664644350.0385,276770983340.6778,26.46526507490769,0.00023839831352233886
