,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Mixed,0.8721225,0.06263314720263556,11.16977672668907,3.628563388712187,3.8401358960388374,0.0003705220222473145
1,0.1,2,50,500,Mixed,0.88601375,0.0442236346812011,11.391631046420411,2.8939314734043373,3.862148835552537,0.0005244674682617187
2,0.1,2,100,500,Mixed,0.89202375,0.03022306481780865,11.139584016908769,1.8887328391487073,3.846915402388243,0.0011811704635620117
3,0.1,2,300,500,Mixed,0.9025862499999999,0.017396799690357786,11.473146110703302,1.1555727885238374,3.88194910684362,0.005404247760772705
4,0.1,2,500,500,Mixed,0.90413,0.014377836045061767,11.506285182467742,0.9122030007754256,3.8683506578622495,0.01543869686126709
5,0.1,10,30,500,Mixed,0.7166475,0.073762894112458,247913062436.55338,248772339317.89777,25.71839524824594,0.0006220602989196778
6,0.1,10,50,500,Mixed,0.82121,0.054371234810786664,698307724999.1748,572087899043.7196,27.5784864976412,0.0010071992874145508
7,0.1,10,100,500,Mixed,0.8170850000000001,0.037206975058259865,380906455661.37537,195880420113.31015,25.114131728023146,0.0025787596702575685
8,0.1,10,300,500,Mixed,0.8735074999999999,0.021544085359512386,643451476312.2705,220915003812.3326,25.309643195926384,0.024894773960113525
9,0.1,10,500,500,Mixed,0.88612375,0.015528650784207098,724289810357.1722,182370527362.21167,25.479716951759467,0.07850343227386475
