,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Mixed,0.8760687500000001,0.06226644773475539,11.487332746913022,3.9344430426351287,3.8679085482259454,0.0004707634449005127
1,0.1,2,50,200,Mixed,0.884346875,0.046277252322517864,11.323047655526752,2.7949798700827166,3.870123816514142,0.0006677806377410889
2,0.1,2,100,200,Mixed,0.892846875,0.028334313073482224,11.153118894121343,1.8830401748056826,3.890762555829393,0.001198112964630127
3,0.1,2,300,200,Mixed,0.90235625,0.017217719550512503,11.454673287764246,1.0763912819296466,3.9066438234090692,0.005520045757293701
4,0.1,2,500,200,Mixed,0.904996875,0.014689053229643206,11.552993278264648,0.9619032699909278,3.8957485995403838,0.015419577360153197
5,0.1,10,30,200,Mixed,0.7147468749999999,0.07541762644769721,268769827094.0949,303552681819.77576,25.82200566943913,0.0006076991558074951
6,0.1,10,50,200,Mixed,0.8207499999999999,0.05814476956173216,707141144450.3004,596285616598.5614,27.28785896589803,0.0010922741889953613
7,0.1,10,100,200,Mixed,0.81930625,0.034714364681840554,382362663114.97284,198191768631.4325,25.165879715588247,0.0026377224922180175
8,0.1,10,300,200,Mixed,0.8741156250000001,0.02155324909887056,646657318749.1761,225274638536.0712,25.36436970891357,0.0249668288230896
9,0.1,10,500,200,Mixed,0.885940625,0.01554066404401756,726215278843.4783,182158269043.56342,25.444725734579947,0.08052141427993774
