,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Mixed,0.8992375,0.05625576324467749,12.807568281288303,4.3434401867686105,4.082408902027035,7.542133331298828e-05
1,0.1,2,50,200,Mixed,0.9019218749999999,0.03980119691654161,12.20804128692249,2.9106105630804926,4.028193867933448,0.00012070059776306152
2,0.1,2,100,200,Mixed,0.9063125,0.026556670584103024,11.98038390485002,1.9962600471805785,4.0305111852429425,9.546399116516113e-05
3,0.1,2,300,200,Mixed,0.90610625,0.01683706069215337,11.651437821910365,1.0944853968906003,3.96360637476362,6.540060043334961e-05
4,0.1,2,500,200,Mixed,0.9073625,0.015082629406008588,11.658578027667227,0.980647415567134,3.9420019404137876,0.00014334797859191895
5,0.1,10,30,200,Mixed,0.822903125,0.0678877778600334,780934259543.4407,1248233756137.4917,27.757891836103976,9.034514427185059e-05
6,0.1,10,50,200,Mixed,0.856121875,0.05372476975554017,822738475477.3516,838771757658.4106,27.37638443997161,7.561087608337402e-05
7,0.1,10,100,200,Mixed,0.8771968749999999,0.031691540068588805,770639977636.1741,440379691066.3909,27.536582392852527,8.041620254516602e-05
8,0.1,10,300,200,Mixed,0.8929406249999999,0.01939791333347067,781039682238.7354,294848406450.0964,27.328056526495736,0.00012086868286132812
9,0.1,10,500,200,Mixed,0.8941,0.014450470989176968,749889111022.4447,186815236340.62473,27.370206678437754,0.00017089366912841796
