,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Mixed,0.907434375,0.05572156859121702,13.069537745258476,4.395713441063938,4.080181526918608,0.00011643648147583008
1,0.1,2,50,200,Mixed,0.9084468750000001,0.03996867774410903,12.400531182719275,2.947112125611741,3.999918438917379,7.600903511047363e-05
2,0.1,2,100,200,Mixed,0.9104499999999999,0.02426358540350469,12.161365910192616,1.9029551139448853,3.9928895859956586,5.6319236755371093e-05
3,0.1,2,300,200,Mixed,0.90739375,0.01667721072979923,11.65965134162023,1.0914876743306716,3.9498582931014687,8.150339126586915e-05
4,0.1,2,500,200,Mixed,0.908159375,0.014470908140001333,11.655350699353033,0.9334976516770241,3.9441706972508004,0.00011866450309753417
5,0.1,10,30,200,Mixed,0.9053874999999999,0.050554617151419845,2736859225865.2725,10244555611902.895,28.119057075537683,0.0001246953010559082
6,0.1,10,50,200,Mixed,0.903925,0.038370556721470404,1381517084026.793,1553822977341.9827,27.782813322486415,6.983041763305664e-05
7,0.1,10,100,200,Mixed,0.8989999999999999,0.02485479185975935,917630750574.1356,525505455927.9239,27.452886888799714,0.0001349949836730957
8,0.1,10,300,200,Mixed,0.8995468750000001,0.019415021631047573,834025301560.1005,304442390744.0935,27.500893471514072,0.0001646125316619873
9,0.1,10,500,200,Mixed,0.8984281250000001,0.013835954713119457,782789072285.9691,192806281532.02527,27.435957007092423,0.00015476465225219726
