,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Mixed,0.9096375000000001,0.05077221661213363,14.253626165254879,4.7018684800986215,4.216527474296424,0.0004164285659790039
1,0.1,2,50,500,Mixed,0.90853125,0.037906011708365855,13.194979888938889,3.2868402690915515,4.025413387179263,0.0004160261154174805
2,0.1,2,100,500,Mixed,0.9090925,0.02710943168571863,12.522208359708296,2.1786604018421682,3.9094536158988857,0.0005134611129760742
3,0.1,2,300,500,Mixed,0.90782875,0.016613229396160122,12.04604532005734,1.2337713379477442,3.8243530898855846,0.0008606514930725097
4,0.1,2,500,500,Mixed,0.9076175,0.014409194322099484,11.986816557784918,0.9954881310081722,3.7776073003473742,0.0011235404014587403
5,0.1,4,30,500,Mixed,0.9115500000000001,0.05120238880402434,2820.2240038611353,1807.3425350149357,10.346371942022397,0.0006499643325805664
6,0.1,4,50,500,Mixed,0.90815875,0.039456869887894055,2161.1947195973976,904.8637092720872,9.70471978399161,0.0007691078186035156
7,0.1,4,100,500,Mixed,0.9076475,0.03197899887407321,1891.646730601656,583.9885638031255,9.229626025990783,0.0009450321197509766
8,0.1,4,300,500,Mixed,0.9060825,0.016935778249606355,1693.6770275552774,274.5286971955768,8.94488931395931,0.0015007548332214356
9,0.1,4,500,500,Mixed,0.9048212499999999,0.014320251180592138,1645.3567299044096,212.73312760259918,8.962095723273617,0.002167519569396973
10,0.1,10,30,500,Mixed,0.9127275,0.05281203310260704,9832645959894.084,28898763232262.504,33.493819402712404,0.001553360939025879
11,0.1,10,50,500,Mixed,0.9055375,0.04421438161767805,2660868325653.8213,4032164207437.2676,30.38615487225401,0.0018882718086242675
12,0.1,10,100,500,Mixed,0.90088625,0.031864544018682224,1310601944570.9514,1049392476673.3922,28.045488730288525,0.0023907103538513184
13,0.1,10,300,500,Mixed,0.8997824999999999,0.01893407985643929,898043508058.8468,319558252463.6097,26.803287547641226,0.004003263473510742
14,0.1,10,500,500,Mixed,0.89968375,0.014605089334078477,830986028186.5149,205762442922.14926,26.642359543022998,0.005794549942016601
15,0.1,15,30,500,Mixed,0.91265875,0.05576468117474125,1.3413141181712104e+23,1.9902660378666307e+24,56.99492189992194,0.002398491382598877
16,0.1,15,50,500,Mixed,0.90756375,0.04252332885230014,5.239721155611027e+21,2.0914650262996303e+22,50.128328255816925,0.002929041862487793
17,0.1,15,100,500,Mixed,0.9035825,0.03108727784702089,1.3112689565946843e+21,1.7933917526318734e+21,46.05707209469011,0.0038056230545043947
18,0.1,15,300,500,Mixed,0.8997749999999999,0.017891659312257533,5.9461026803804e+20,2.7042505596618143e+20,43.37179114642136,0.006657753944396973
19,0.1,15,500,500,Mixed,0.9007525,0.015360134642067591,5.625831764357898e+20,2.1575208838421037e+20,42.8830008747215,0.009248015403747558
20,0.1,20,30,500,Mixed,0.9216187499999999,0.05161773397398144,1.009967477043998e+33,5.33927881498208e+33,80.64057198757732,0.0034071593284606934
21,0.1,20,50,500,Mixed,0.91475,0.041452673596483414,7.679988832339422e+31,5.31778577167346e+32,70.86845989362259,0.0042547259330749515
22,0.1,20,100,500,Mixed,0.9105362500000002,0.028985283083979303,4.5202056758729137e+30,7.266172099163043e+30,64.46275713865371,0.005473730564117432
23,0.1,20,300,500,Mixed,0.909825,0.01758796422190305,1.6766394572512707e+30,1.1513151824017794e+30,60.67237676700553,0.009240035057067872
24,0.1,20,500,500,Mixed,0.90747625,0.014462823071236119,1.302705149817344e+30,6.28690610276398e+29,59.99197627517758,0.013045648097991943
