,alpha,n_dim,n_cals,df,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,1.5,200,t,0.938515625,0.039528641454145974,396.15968080196586,1033.350260558589,16.34724335367179,4.0301084518432616e-05
1,0.1,2,30,2.0,200,t,0.941225,0.0396011462608834,105.29577655590285,292.09808475191403,9.065317368495943,4.0251016616821286e-05
2,0.1,2,30,3.0,200,t,0.9362031250000001,0.04411437182047309,29.933839831768708,36.078239099945314,5.497694044633368,2.0129680633544924e-05
3,0.1,2,30,10.0,200,t,0.942275,0.04007227100210733,8.012228553915463,3.0199128442699283,3.1330914554408618,3.520369529724121e-05
4,0.1,2,30,30.0,200,t,0.9358156249999999,0.04322087594056515,6.066308454269618,1.8338387942864025,2.727187634454083,3.509998321533203e-05
5,0.1,2,30,100.0,200,t,0.9349593749999999,0.041404655143742426,5.561280848962417,1.5483555151132309,2.5894741259664187,3.0089616775512695e-05
6,0.1,2,500,1.5,200,t,0.899921875,0.014068509673434947,37.918985610042014,7.045743040790519,6.593447754970894,7.07554817199707e-05
7,0.1,2,500,2.0,200,t,0.90235,0.013907170477977092,19.153206242766522,2.9747127355608782,4.608306915096078,9.548306465148926e-05
8,0.1,2,500,3.0,200,t,0.905265625,0.015625117775938033,10.337944966217965,1.1536623249013935,3.3292277095380456,6.0297250747680664e-05
9,0.1,2,500,10.0,200,t,0.9081656250000001,0.014424697996694913,5.013437026900282,0.3576621974720531,2.292802402347399,4.032135009765625e-05
10,0.1,2,500,30.0,200,t,0.9042718750000001,0.01339857229547838,4.231867287111454,0.2818323791301762,2.1107109027615514,9.991288185119629e-05
11,0.1,2,500,100.0,200,t,0.903696875,0.012466471601069663,3.989459135946464,0.23177952847017383,2.046573396974696,6.0523748397827146e-05
12,0.1,10,30,1.5,200,t,1.0,0.0,inf,,inf,5.5145025253295895e-05
13,0.1,10,30,2.0,200,t,1.0,0.0,inf,,inf,4.00543212890625e-05
14,0.1,10,30,3.0,200,t,1.0,0.0,inf,,inf,2.5019645690917968e-05
15,0.1,10,30,10.0,200,t,1.0,0.0,inf,,inf,8.508563041687012e-05
16,0.1,10,30,30.0,200,t,1.0,0.0,inf,,inf,2.500176429748535e-05
17,0.1,10,30,100.0,200,t,1.0,0.0,inf,,inf,5.4999589920043946e-05
18,0.1,10,500,1.5,200,t,0.8994625,0.014361958799299065,10774384448625.053,36664433570473.14,30.2198451677389,0.0002211904525756836
19,0.1,10,500,2.0,200,t,0.904434375,0.014185873174499689,20209371198.73149,21172776144.279217,15.116748550971666,0.0001508450508117676
20,0.1,10,500,3.0,200,t,0.905746875,0.014272520540263242,75438263.12601288,43934314.28698629,7.804053163999451,0.00017596244812011718
21,0.1,10,500,10.0,200,t,0.9086937499999999,0.014775352700515247,126648.24732913614,34116.93333894486,3.6899495551980968,0.0002413308620452881
22,0.1,10,500,30.0,200,t,0.90749375,0.01614249688604834,29796.58101353542,7657.709698730403,3.097167891469379,0.00019650340080261232
23,0.1,10,500,100.0,200,t,0.90816875,0.014361476323779964,18236.573550573754,4066.4201956810957,2.9315374337354925,0.00019638895988464356
