,alpha,n_dim,n_cals,df,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,1.5,200,t,0.9024000000000001,0.050599633045325616,98.82412876370698,146.09215711912665,9.981402113220891,9.804368019104004e-05
1,0.1,2,30,2.0,200,t,0.90405625,0.050014837230098697,35.42346077656948,44.78489386688587,5.987030583015429,0.00010223388671875
2,0.1,2,30,3.0,200,t,0.8930875,0.05406154743257004,13.352119900818366,9.077390927593088,3.781417263860233,7.550477981567383e-05
3,0.1,2,30,10.0,200,t,0.904596875,0.05289064468158374,5.657954741555188,1.9301081065631565,2.564414589381345,0.00013042807579040526
4,0.1,2,30,30.0,200,t,0.896309375,0.055350414017366165,4.523146796080739,1.258031049617687,2.297717004555979,9.557485580444336e-05
5,0.1,2,30,100.0,200,t,0.894146875,0.05479594604644582,4.193129052726235,1.0849838102465321,2.1828453742916585,9.047508239746094e-05
6,0.1,2,500,1.5,200,t,0.896915625,0.014694207879652005,44.19332683382105,25.777695705332114,7.456110624805138,0.00011546134948730468
7,0.1,2,500,2.0,200,t,0.8996562499999999,0.014652024006084428,20.264004057961905,6.207598403082937,4.895953168485255,0.00014528512954711914
8,0.1,2,500,3.0,200,t,0.9023468750000001,0.01642738722727841,10.291858585681593,1.4969927747353926,3.424485463230183,0.0001453554630279541
9,0.1,2,500,10.0,200,t,0.9056406249999999,0.014647158392646383,4.937954719550764,0.3589484698817531,2.2808585055967807,0.00013071537017822265
10,0.1,2,500,30.0,200,t,0.9017750000000001,0.013568994780260385,4.168467699245773,0.2735677846208906,2.0792865116228123,0.00013041019439697266
11,0.1,2,500,100.0,200,t,0.90075625,0.01312934990133397,3.9295824971084574,0.23315635611396102,2.0170397701706113,0.00012033939361572266
12,0.1,10,30,1.5,200,t,0.7945125000000001,0.0558708663440093,8101926120125.24,63958088210020.82,43.10478016155335,9.530782699584961e-05
13,0.1,10,30,2.0,200,t,0.8046374999999999,0.059974979079428524,17859139290.604076,151477660912.21814,17.564986714358326,0.00010038971900939941
14,0.1,10,30,3.0,200,t,0.82355625,0.06095420029502091,81737329.1815996,285872549.2179214,8.591763897292704,9.029269218444824e-05
15,0.1,10,30,10.0,200,t,0.821796875,0.06612615051755794,85624.75913242508,104926.78285535278,3.8574033509760524,0.00010313153266906738
16,0.1,10,30,30.0,200,t,0.822175,0.0725089331266557,19883.25547802987,19497.246906270633,3.2533334210067393,0.00011536955833435058
17,0.1,10,30,100.0,200,t,0.82264375,0.06967050813079748,12236.879490490706,11127.32129648213,3.0999765564078317,9.019851684570312e-05
18,0.1,10,500,1.5,200,t,0.8943625000000001,0.015307767061595246,51693391250486.19,267272972795178.3,55.04019326824498,0.00018811941146850585
19,0.1,10,500,2.0,200,t,0.8978093749999999,0.0156630814204066,33262564954.273903,98868732759.28767,17.847943967817756,0.00016579508781433105
20,0.1,10,500,3.0,200,t,0.898321875,0.015022174969472371,54488203.98018112,37871839.567553684,7.464222077602255,0.0001642262935638428
21,0.1,10,500,10.0,200,t,0.9018906250000001,0.01588785653133159,98110.86747710973,26034.101768429875,3.364499889272939,0.00018303513526916505
22,0.1,10,500,30.0,200,t,0.8985624999999999,0.016540455961583565,24022.389703106768,5927.605588826056,2.891015462721004,0.00011033058166503906
23,0.1,10,500,100.0,200,t,0.90068125,0.014786906334056523,15114.629919612757,3319.3931857889506,2.751558486943262,0.00020916223526000976
