,alpha,n_dim,n_cals,df,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,1.5,200,t,0.9089906249999999,0.050077620243283605,88.3566917887245,102.62179116748634,8.998077534577192,2.5136470794677736e-05
1,0.1,2,30,2.0,200,t,0.9061406250000001,0.04648957699398623,29.583652356514573,25.11566703222429,5.1904471066699855,6.119847297668457e-05
2,0.1,2,30,3.0,200,t,0.8999687499999999,0.052672967864510714,12.776091229490603,8.978132399202135,3.358889820933589,4.0051937103271487e-05
3,0.1,2,30,10.0,200,t,0.9134531250000001,0.050208732707166324,5.766648752689905,1.9645304700541395,2.342399628556186,6.556272506713867e-05
4,0.1,2,30,30.0,200,t,0.9088437500000001,0.05053373069671525,4.686237634546552,1.2957158925717105,2.1304655651885205,5.0150156021118164e-05
5,0.1,2,30,100.0,200,t,0.9058062500000001,0.048744305733023546,4.292570267575322,1.0552557506935074,2.06556289261869,5.52213191986084e-05
6,0.1,2,500,1.5,200,t,0.8968406250000001,0.014159502473102789,42.62364018108421,26.823767145199863,7.064049886152862,0.00010563969612121582
7,0.1,2,500,2.0,200,t,0.8999375,0.013926037352084699,19.530086349535523,4.954486521430588,4.699226558304304,8.539795875549316e-05
8,0.1,2,500,3.0,200,t,0.9018062499999999,0.016162645715355535,9.995093998689521,1.1260027448097447,3.2195258147695327,0.00011544942855834961
9,0.1,2,500,10.0,200,t,0.906428125,0.014633071997698368,4.949920652302243,0.35619900712371966,2.236798212172803,9.008526802062989e-05
10,0.1,2,500,30.0,200,t,0.9027125000000001,0.013173209498541439,4.178364616264962,0.2681781683571764,2.044114537893879,8.045434951782226e-05
11,0.1,2,500,100.0,200,t,0.901434375,0.013234067276076292,3.9326817716519753,0.23150150692567706,1.991967255637945,0.00010527372360229492
12,0.1,10,30,1.5,200,t,0.89798125,0.05535477989045848,3.6296284059846936e+16,2.5170220329828755e+17,58.29660921072501,3.490567207336426e-05
13,0.1,10,30,2.0,200,t,0.9031125,0.05195612035372787,2399143330044.5093,13483742634561.732,17.287574864266084,5.016446113586426e-05
14,0.1,10,30,3.0,200,t,0.905128125,0.05283265696108053,979899476.9499447,4984833386.194914,6.839527869533669,9.017586708068848e-05
15,0.1,10,30,10.0,200,t,0.907109375,0.048904071276545905,227080.8848883385,314916.8984751275,3.2870748800079372,9.02259349822998e-05
16,0.1,10,30,30.0,200,t,0.9052625000000001,0.05205129349519196,46098.31071085602,54847.70530111585,2.8253841318986286,5.5116415023803714e-05
17,0.1,10,30,100.0,200,t,0.907675,0.050880792609123766,26319.241068613734,24476.061371499265,2.7053509357396752,0.00010008811950683594
18,0.1,10,500,1.5,200,t,0.8956406250000001,0.014833725291188562,28404460981872.375,81612448834156.83,47.97602673989475,0.00015028476715087891
19,0.1,10,500,2.0,200,t,0.900584375,0.015161411369259609,18988367884.024776,26520004507.48323,15.337490558531723,9.542465209960938e-05
20,0.1,10,500,3.0,200,t,0.9011374999999999,0.014422341206593223,50256053.88365457,29718208.35367801,6.476829911497502,0.00013991236686706544
21,0.1,10,500,10.0,200,t,0.9055656249999999,0.015492414547997675,101198.9405089793,26371.45141472157,3.2096021048049272,0.00014534711837768555
22,0.1,10,500,30.0,200,t,0.9021843749999999,0.016541286369510858,24877.21276347837,6004.571655182959,2.7806714762459444,0.00016517400741577148
23,0.1,10,500,100.0,200,t,0.90405625,0.014593124704142472,15613.394596069345,3478.4632481059734,2.652542693229819,0.00012530803680419923
