,alpha,n_dim,n_cals,df,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,1.5,200,t,0.9154468750000001,0.04670344980004692,127.6319653975105,186.32744283345525,11.381014596880515,0.00020221233367919922
1,0.1,2,30,2.0,200,t,0.918803125,0.046643367287525134,45.73249612788214,60.76913668920592,6.652414670563922,0.0001650059223175049
2,0.1,2,30,3.0,200,t,0.91156875,0.04978885182465637,16.455503156770764,11.956908333524963,4.212545291406906,0.00023648619651794433
3,0.1,2,30,10.0,200,t,0.92665,0.047488470565848054,6.75597543565312,2.5923680894529544,2.772531791825754,0.00016591787338256835
4,0.1,2,30,30.0,200,t,0.92140625,0.04945791055808319,5.310903748076815,1.6449721855505537,2.4652935102742966,0.00017555356025695802
5,0.1,2,30,100.0,200,t,0.919659375,0.05013027929550765,4.897492969600946,1.412898432640709,2.3492464533352364,0.00020168423652648925
6,0.1,2,500,1.5,200,t,0.8974062500000001,0.014554301534366612,44.54340227840672,26.113434889400462,7.478337844690047,0.0003319108486175537
7,0.1,2,500,2.0,200,t,0.90015625,0.014609762334303188,20.388797706734124,6.249013009374534,4.911463496256747,0.00032129764556884763
8,0.1,2,500,3.0,200,t,0.903065625,0.016387320528533627,10.362432737346648,1.5079996587242417,3.437428029143792,0.00024152636528015136
9,0.1,2,500,10.0,200,t,0.9069375,0.01455217717569312,4.974304831826447,0.3634373447841418,2.2891413529956037,0.00020122885704040527
10,0.1,2,500,30.0,200,t,0.9030875,0.01354788640824292,4.19863893325213,0.276647453716392,2.086688168068923,0.0002963840961456299
11,0.1,2,500,100.0,200,t,0.902265625,0.012931229590723963,3.9577842185685075,0.23574674757494465,2.024493849636861,0.0003416895866394043
12,0.1,10,30,1.5,200,t,0.908465625,0.05120834184100184,3.7737171499166245e+19,4.11024993798575e+20,97.236210499257,0.00016080260276794435
13,0.1,10,30,2.0,200,t,0.9092937499999999,0.05170917865061392,261420958764539.62,2523474778850609.0,30.835200579823432,0.00017596364021301269
14,0.1,10,30,3.0,200,t,0.918265625,0.05022841347619946,191031228930.70728,1538295542459.7395,12.436194891453805,0.00020106911659240723
15,0.1,10,30,10.0,200,t,0.9150437499999999,0.05066798263706628,1347153.7313831395,6210668.0724912975,4.635404720884141,0.00021093010902404786
16,0.1,10,30,30.0,200,t,0.915696875,0.055756390102802166,134486.15352273983,260587.48248385073,3.775875415500809,0.00025064349174499514
17,0.1,10,30,100.0,200,t,0.917159375,0.05225414276557603,68590.90121107032,108673.90788276687,3.6035088555933603,0.0001859462261199951
18,0.1,10,500,1.5,200,t,0.896121875,0.015058290412931209,58766038459962.37,305678128996954.75,55.741308213306795,0.000652235746383667
19,0.1,10,500,2.0,200,t,0.900425,0.015400556343145272,38225528996.77566,111001590769.5718,18.134258810003537,0.0007438206672668457
20,0.1,10,500,3.0,200,t,0.901703125,0.014962911841055233,62642865.40450571,44168854.861277476,7.569809313423841,0.0006179618835449219
21,0.1,10,500,10.0,200,t,0.906421875,0.015434318597274906,107655.0116996922,29054.576356152887,3.397235710109414,0.0006788420677185059
22,0.1,10,500,30.0,200,t,0.90361875,0.0163743778411862,26039.2289929013,6524.438764609869,2.9145676224627817,0.0006236755847930909
23,0.1,10,500,100.0,200,t,0.90545625,0.014403948620667675,16315.52558767905,3631.907696636759,2.771254814475011,0.0006283736228942871
