,alpha,n_dim,n_cals,df,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,1.5,200,t,0.90790625,0.049546258951285505,72.77417495713489,86.71461393286336,6.935121178129735,6.028413772583008e-05
1,0.1,2,30,2.0,200,t,0.9075343749999999,0.04708102535765354,28.658008607202323,27.27813336387332,4.678460526165585,3.509402275085449e-05
2,0.1,2,30,3.0,200,t,0.9004375,0.05288923816637081,12.728017040501516,8.765176535041002,3.210861639551805,4.0028095245361325e-05
3,0.1,2,30,10.0,200,t,0.9136500000000001,0.05007506300219069,5.76895559011459,1.9567251925709288,2.3228020097648314,5.5087804794311525e-05
4,0.1,2,30,30.0,200,t,0.90876875,0.0505329988676736,4.684633156806649,1.295485984107871,2.122604715669933,3.019213676452637e-05
5,0.1,2,30,100.0,200,t,0.9057531249999999,0.048514292041322515,4.28755358735978,1.05275963148544,2.0589819015956183,5.472183227539063e-05
6,0.1,2,500,1.5,200,t,0.8974843750000001,0.013827079168284425,36.04856274779335,6.674900145106317,5.978611769448917,7.546424865722656e-05
7,0.1,2,500,2.0,200,t,0.9001531249999999,0.01332728737603388,18.45649074221547,2.74748691850008,4.275908981464715,9.050488471984864e-05
8,0.1,2,500,3.0,200,t,0.90234375,0.015984587180284657,10.008012363935451,1.1272611234391594,3.1370524759483702,7.043600082397461e-05
9,0.1,2,500,10.0,200,t,0.906434375,0.01467077424915684,4.947367506667991,0.35084644338556054,2.2266456843736315,4.018902778625488e-05
10,0.1,2,500,30.0,200,t,0.9027562499999999,0.013127346344472622,4.177371024975803,0.26965480284075316,2.0306418330186826,5.038976669311523e-05
11,0.1,2,500,100.0,200,t,0.9012062499999999,0.013295437109291881,3.9288905740496034,0.23242846963870878,1.9749581936962537,0.00010537147521972656
12,0.1,10,30,1.5,200,t,0.9005375,0.05131109393252851,1.2497433765553818e+16,9.233704869120998e+16,19.19573416630996,5.0139427185058596e-05
13,0.1,10,30,2.0,200,t,0.9011906250000001,0.05258844837267595,967582988428.1318,5145638156805.711,10.131961554900832,4.5497417449951175e-05
14,0.1,10,30,3.0,200,t,0.90528125,0.05216292808373438,1150274067.412519,6464909028.584537,6.1431826480213285,7.516741752624511e-05
15,0.1,10,30,10.0,200,t,0.90690625,0.04829540777078325,223990.8053327842,310444.3325524647,3.211191256674873,4.4990777969360355e-05
16,0.1,10,30,30.0,200,t,0.905309375,0.05120689285500238,45834.83090588627,55338.54659459699,2.7819586469287563,2.0459890365600585e-05
17,0.1,10,30,100.0,200,t,0.907475,0.051187601430434354,26095.1993495651,24306.612519402912,2.6803243804967605,4.482388496398926e-05
18,0.1,10,500,1.5,200,t,0.894275,0.015470840012860242,3437171141890.915,5171988678209.982,17.054298938594137,5.5298805236816406e-05
19,0.1,10,500,2.0,200,t,0.90055625,0.015327992495995242,10257742261.443771,9637613701.180433,9.659721747013123,6.042957305908203e-05
20,0.1,10,500,3.0,200,t,0.9008656250000001,0.015167702279732683,46706847.98831038,30163631.5502672,5.72737189233854,0.00012071490287780762
21,0.1,10,500,10.0,200,t,0.905675,0.01565372485253251,101446.14644258395,26663.071583228673,3.1555241263745613,5.0209760665893554e-05
22,0.1,10,500,30.0,200,t,0.9022,0.016296074033167386,24891.732510988506,6060.618554552484,2.741918794413009,0.00010036945343017579
23,0.1,10,500,100.0,200,t,0.9041562500000001,0.014972067533196373,15596.663220778015,3527.1173421081544,2.6154425714345644,7.545948028564453e-05
