alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,2.412701490244197,0.27535638409373725,2.404167740443186,1
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,2.4334790580080603,0.28488822403594444,2.420995899022298,1
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,2.43039010095121,0.29989995372043815,2.409318092278319,1
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,2.4168299825541046,0.28627335724251085,2.3999909034417284,1
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,2.431894253610183,0.2607463084260663,2.4093484447255324,1
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,2.449199345934355,0.2713935246455921,2.423921373147932,1
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,2.410152285765766,0.2815628688137908,2.3759706582999813,1
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,2.416331199387685,0.2656375242604928,2.4063842378656464,1
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,2.397543318819866,0.27449814568868774,2.387210898384107,1
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.4092573894262497,0.2844193434531829,2.399163855793507,1
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,2.7454882655329227,0.3799053478159906,2.7088921771205197,1
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,2.7254468362663267,0.3926084458363344,2.675926974169367,1
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,2.7823836172247143,0.37249715841547254,2.7613009557290846,1
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,2.7118489859422694,0.34491051085622076,2.7019818365683292,1
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,2.744264359953033,0.39204917544724077,2.6994949884474613,1
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,2.7425451658107165,0.35242147974858673,2.706485619354015,1
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,2.7106322822755096,0.3762436749323046,2.6825127158744833,1
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,2.684421189589398,0.3409429935107055,2.6385823079360398,1
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,2.7097693765924777,0.36185726946412505,2.6728010580665944,1
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.732799584500465,0.3819571305945856,2.705497034134196,1
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,2.6403766239325694,0.2326736573477152,2.623338738035434,1
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,2.6621948834653177,0.22906198044481543,2.643218928228701,1
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,2.658572073552351,0.23700928523514678,2.635840485135313,1
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,2.6305022145491535,0.21874350545212842,2.611620921066055,1
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,2.666435183019173,0.21144814719395447,2.6574657902462118,1
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,2.6665671483023567,0.2044847674684747,2.660493046117735,1
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,2.635662709498669,0.23393435369091012,2.61747781158018,1
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,2.644328105723986,0.19455341553239908,2.6483210367368173,1
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,2.6252077941050844,0.20034458981872652,2.612476561807009,1
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.6398112347414475,0.22314363014726968,2.616446085771046,1
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,2.582749251951605,0.10485110153460962,2.575771373493854,1
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,2.582749251951605,0.10485110153460962,2.575771373493854,1
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,2.582749251951605,0.10485110153460962,2.575771373493854,1
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,2.582749251951605,0.10485110153460962,2.575771373493854,1
