alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,0.94625,199428064800.565,34.23793019070444,0.0030007362365722656,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,0.98125,13314151520627.21,77.23143990371241,0.0010075569152832031,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,0.9775,273319846637914.06,27.77583456650722,0.0,0.5,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,0.70625,15472098221.026632,30.69788721507495,0.0,0.5,1.5,True,7200,800
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,0.95,254374412271.56827,32.34366365403559,0.003006458282470703,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,0.81625,27531001652.09312,28.5326904297442,0.0,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,0.945,43034479453041.695,23.087752354231412,0.0,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,0.80625,24630269635.93253,28.169295235973483,0.0009932518005371094,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,0.9675,1409448504156.2139,35.74937751171585,0.0030012130737304688,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,0.98875,28301090614061.824,56.28124099330434,0.0,0.5,1.5,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,0.955,176466496449467.53,26.58680965709076,0.0,0.5,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,0.85125,66161103842.73575,27.620487863844087,0.0010013580322265625,0.5,1.5,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,0.95625,541264498019.30634,39.91732886884769,0.0020079612731933594,0.5,1.5,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,0.975,7673496870093.056,65.74720968555022,0.0009987354278564453,0.5,1.5,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,0.9775,238037011906452.47,27.394567545443273,0.0,0.5,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,0.79625,59087857491.535,32.962929875871396,0.0,0.5,1.5,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,0.905,297698066182.76544,40.95608355969699,0.002995729446411133,0.5,1.5,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,1.0,9805550501117114.0,68.41220569343935,0.0009989738464355469,0.5,1.5,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,0.87125,7324589132242.0625,19.340973363846683,0.0,0.5,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,0.70125,47772228052.34215,54.50218442881473,0.0,0.5,1.5,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,0.96125,767113940650.3005,37.37084148482215,0.003000974655151367,0.5,1.5,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,0.9725,1359532254285.1248,50.44526466726273,0.0010001659393310547,0.5,1.5,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,0.93375,35094007328890.277,22.621598823564995,0.0,0.5,1.5,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,0.75125,21538319707.595398,28.151650000164768,0.0010006427764892578,0.5,1.5,True,7200,800
0.1,10,30,6,TSCP_R,Gaussian,absolute_residual,0.9525,552363866567.8601,35.83608908640759,0.003006458282470703,0.5,1.5,True,7200,800
0.1,10,30,6,Point_CHR,Gaussian,absolute_residual,0.99375,153794095407999.7,48.604562802554724,0.0,0.5,1.5,True,7200,800
0.1,10,30,6,Unscaled,Gaussian,absolute_residual,0.865,4207491566314.7573,18.29794531832934,0.0,0.5,1.5,True,7200,800
0.1,10,30,6,Empirical_copula,Gaussian,absolute_residual,0.8025,63102825129.54425,37.790911970851816,0.0009996891021728516,0.5,1.5,True,7200,800
0.1,10,30,7,TSCP_R,Gaussian,absolute_residual,0.94875,355776613303.3037,34.235001809412964,0.004004478454589844,0.5,1.5,True,7200,800
0.1,10,30,7,Point_CHR,Gaussian,absolute_residual,0.935,288763049150.15533,37.45887632397063,0.0010044574737548828,0.5,1.5,True,7200,800
0.1,10,30,7,Unscaled,Gaussian,absolute_residual,0.905,17392142680625.336,21.08799592343818,0.0,0.5,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,Gaussian,absolute_residual,0.81875,25634553328.593056,26.455894688382543,0.0009911060333251953,0.5,1.5,True,7200,800
0.1,10,30,8,TSCP_R,Gaussian,absolute_residual,0.89,72079089450.64906,28.900094460106576,0.0020096302032470703,0.5,1.5,True,7200,800
0.1,10,30,8,Point_CHR,Gaussian,absolute_residual,0.9725,2103017285812.2363,39.217577195348674,0.0009961128234863281,0.5,1.5,True,7200,800
0.1,10,30,8,Unscaled,Gaussian,absolute_residual,0.94125,66215066014108.4,24.104364257562732,0.0,0.5,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,Gaussian,absolute_residual,0.78,31567790401.919796,25.64700528650947,0.0009965896606445312,0.5,1.5,True,7200,800
0.1,10,30,9,TSCP_R,Gaussian,absolute_residual,0.89,108316076743.6003,26.203187125811887,0.0020062923431396484,0.5,1.5,True,7200,800
0.1,10,30,9,Point_CHR,Gaussian,absolute_residual,0.9,905761947878.5645,49.3531951063801,0.0,0.5,1.5,True,7200,800
0.1,10,30,9,Unscaled,Gaussian,absolute_residual,0.92125,16106809483467.016,20.926709818183834,0.0,0.5,1.5,True,7200,800
0.1,10,30,9,Empirical_copula,Gaussian,absolute_residual,0.755,20100299444.74527,27.665284428654775,0.0009975433349609375,0.5,1.5,True,7200,800
0.1,10,30,10,TSCP_R,Gaussian,absolute_residual,0.82375,32947883409.54862,24.172654878797935,0.002997875213623047,0.5,1.5,True,7200,800
0.1,10,30,10,Point_CHR,Gaussian,absolute_residual,1.0,57692649015950.1,55.27690276959962,0.0,0.5,1.5,True,7200,800
