alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,2,30,Point_CHR,Gaussian,1,absolute_residual,True,2400,600,100,4.72558451246817,1.280960479284153,4.350153924160445
0.1,2,30,Point_CHR,Gaussian,2,absolute_residual,True,2400,600,100,2.611985151017669,0.8810340958421841,2.411035801369561
0.1,2,30,TSCP_R,Gaussian,1,absolute_residual,True,2400,600,100,4.235164375563276,0.6795133302902223,4.17650247582804
0.1,2,30,TSCP_R,Gaussian,2,absolute_residual,True,2400,600,100,2.1194432134602827,0.3196453050174513,2.110557900415115
0.1,2,30,Unscaled,Gaussian,1,absolute_residual,True,2400,600,100,3.4038496152160924,0.5233808160421106,3.348086892886579
0.1,2,30,Unscaled,Gaussian,2,absolute_residual,True,2400,600,100,3.4038496152160924,0.5233808160421106,3.348086892886579
0.1,2,50,Point_CHR,Gaussian,1,absolute_residual,True,2400,600,100,4.30430513236168,0.8654671995950558,4.1194840417071825
0.1,2,50,Point_CHR,Gaussian,2,absolute_residual,True,2400,600,100,2.1983402993172625,0.4294108411621691,2.1346033105419138
0.1,2,50,TSCP_R,Gaussian,1,absolute_residual,True,2400,600,100,3.9546360099143785,0.49483765625267523,3.953442086899922
0.1,2,50,TSCP_R,Gaussian,2,absolute_residual,True,2400,600,100,2.030114351355966,0.246561414187726,2.0040161384063904
0.1,2,50,Unscaled,Gaussian,1,absolute_residual,True,2400,600,100,3.3511645586151593,0.3986658337456879,3.3489015778814566
0.1,2,50,Unscaled,Gaussian,2,absolute_residual,True,2400,600,100,3.3511645586151593,0.3986658337456879,3.3489015778814566
0.1,2,100,Point_CHR,Gaussian,1,absolute_residual,True,2400,600,100,3.977729811619205,0.48557904900173054,3.949973521587464
0.1,2,100,Point_CHR,Gaussian,2,absolute_residual,True,2400,600,100,2.0627124688741514,0.27724284040464087,2.034267183896446
0.1,2,100,TSCP_R,Gaussian,1,absolute_residual,True,2400,600,100,3.9831421766860724,0.29631966500257295,3.9793788569973003
0.1,2,100,TSCP_R,Gaussian,2,absolute_residual,True,2400,600,100,2.013952464467086,0.165368661779558,2.001740899457232
0.1,2,100,Unscaled,Gaussian,1,absolute_residual,True,2400,600,100,3.3307479856194586,0.23875265018988034,3.3258442726717967
0.1,2,100,Unscaled,Gaussian,2,absolute_residual,True,2400,600,100,3.3307479856194586,0.23875265018988034,3.3258442726717967
0.1,2,200,Point_CHR,Gaussian,1,absolute_residual,True,2400,600,100,4.060333042210004,0.4136979034147881,4.0164983991705085
0.1,2,200,Point_CHR,Gaussian,2,absolute_residual,True,2400,600,100,1.970821827137288,0.20778283279284362,1.9530385573326794
0.1,2,200,TSCP_R,Gaussian,1,absolute_residual,True,2400,600,100,4.0042461077872495,0.21225532334006209,4.009215734624704
0.1,2,200,TSCP_R,Gaussian,2,absolute_residual,True,2400,600,100,1.9755162999450397,0.11954752449492344,1.983237324102018
0.1,2,200,Unscaled,Gaussian,1,absolute_residual,True,2400,600,100,3.375824476792178,0.20016615223651194,3.3537539360197917
0.1,2,200,Unscaled,Gaussian,2,absolute_residual,True,2400,600,100,3.375824476792178,0.20016615223651194,3.3537539360197917
