alpha,n_dim,n_cal,method,noise_type,redraw_train_test,n_train,n_test,infinite_volume_rate
0.1,10,10,Empirical_copula,Gaussian,True,7200,800,0.0
0.1,10,10,Point_CHR,Gaussian,True,7200,800,1.0
0.1,10,10,TSCP_R,Gaussian,True,7200,800,0.0
0.1,10,10,Unscaled,Gaussian,True,7200,800,0.0
0.1,10,20,Empirical_copula,Gaussian,True,7200,800,0.0
0.1,10,20,Point_CHR,Gaussian,True,7200,800,0.0
0.1,10,20,TSCP_R,Gaussian,True,7200,800,0.0
0.1,10,20,Unscaled,Gaussian,True,7200,800,0.0
0.1,10,30,Empirical_copula,Gaussian,True,7200,800,0.0
0.1,10,30,Point_CHR,Gaussian,True,7200,800,0.0
0.1,10,30,TSCP_R,Gaussian,True,7200,800,0.0
0.1,10,30,Unscaled,Gaussian,True,7200,800,0.0
0.1,10,50,Empirical_copula,Gaussian,True,7200,800,0.0
0.1,10,50,Point_CHR,Gaussian,True,7200,800,0.0
0.1,10,50,TSCP_R,Gaussian,True,7200,800,0.0
0.1,10,50,Unscaled,Gaussian,True,7200,800,0.0
0.1,10,100,Empirical_copula,Gaussian,True,7200,800,0.0
0.1,10,100,Point_CHR,Gaussian,True,7200,800,0.0
0.1,10,100,TSCP_R,Gaussian,True,7200,800,0.0
0.1,10,100,Unscaled,Gaussian,True,7200,800,0.0
