alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,1,24.713789892982426,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,2,21.10260092129808,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,3,22.203508982740804,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,4,14.998426201232446,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,5,14.717547283813936,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,6,12.771744382807027,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,7,8.568603127300879,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,8,7.394283121412526,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,9,4.858965110365611,0.6,equicorrelated,True,7200,800
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.3791299536645623,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,1,23.62209264378037,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,2,19.96303945629369,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,3,20.273778904666788,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,4,13.56554199254527,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,5,12.956931115751226,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,6,12.512724361124794,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,7,7.382076556170599,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,8,6.422345691396999,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,9,4.3063810559877105,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,10,2.378514573010305,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,1,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,2,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,3,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,4,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,5,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,6,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,7,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,8,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,9,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,10,20.813159829644633,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,22.23881684897928,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,18.794032557244847,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,19.80037537757333,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,12.771163350287834,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,12.198191851724047,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,11.779997206220543,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,7.328925093259535,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,8,6.254388568374075,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,9,4.530891792105503,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,10,2.239232178091196,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,1,22.108077349687054,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,2,19.366376103838164,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,3,19.878647456334168,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,4,13.51563385076261,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,5,13.18853600923928,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,6,11.463603765901492,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,7,7.698384964394476,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,8,6.631294077094584,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,9,4.351668265429206,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.131860455672855,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,1,21.251167165310303,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,2,19.327166517193703,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,3,19.80037537757333,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,4,13.029717896960104,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,5,11.530143296821322,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,6,10.750466174133056,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,7,8.00525111614688,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,8,6.024633991175366,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,9,3.405366093410909,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,10,1.829267411464267,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,1,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,2,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,3,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,4,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,5,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,6,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,7,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,8,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,9,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,10,18.232380909420698,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,22.23881684897928,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,18.794032557244847,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,19.80037537757333,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,12.771163350287834,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,12.198191851724047,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,11.779997206220543,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,7.328925093259535,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,8,6.254388568374075,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,9,4.530891792105503,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,10,2.239232178091196,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,1,20.318616263767804,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,2,17.787873579505302,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,3,18.28205951252585,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,4,12.497333034545628,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,5,11.909021181013596,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,6,10.565244223178325,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,7,6.982068349865437,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,8,6.071068064460865,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,9,4.003284494026986,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,10,1.962049266971527,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,1,21.107168760156267,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,2,13.386147483161459,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,3,15.053373731812673,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,4,13.303446476664188,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,5,12.111919013271894,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,6,9.861090066357232,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,7,7.641125438907632,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,8,5.7201174987451635,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,9,3.4771745915642978,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,10,1.7092873277618539,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,1,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,2,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,3,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,4,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,5,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,6,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,7,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,8,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,9,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,10,14.538371524536453,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,21.162046466600593,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,18.040125220884544,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,17.17386002281754,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,11.365202990195826,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,11.85741679156035,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,8.761050421463942,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,6.727830168859909,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,8,5.58352553990807,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,9,4.05420557061613,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,10,1.8411802654969072,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,1,25.45111351998267,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,2,18.377911494193075,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,3,21.440352891417895,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,4,17.010820957174154,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,5,14.032530419251305,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,6,10.503849395791658,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,7,10.868265793485708,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,8,7.821818141782238,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,9,5.2272909258967095,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,10,2.326546466169771,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,1,25.236481566084095,0.6,equicorrelated,True,7200,800
