alpha,n_dim,n_cal,method,noise_type,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.05,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.922775,0.03313312572185885,79884138503.99428,57817770622.05794,27.03271007368136,0.0011709606647491455
0.05,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9600749999999999,0.028821775164241562,397986182402.94006,831296080721.6198,30.11284548996734,0.0004947352409362793
0.05,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9543937499999999,0.02308867597391942,123768274112.84802,95095767142.42868,27.734034655077288,0.003998439311981201
0.05,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9504,0.02305627265068475,31340926387457.15,26528943644367.492,21.80536329909907,8.515238761901855e-05
0.1,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.87294375,0.03634116017758327,23831996807.949528,14978640104.714577,23.852419045453424,0.0011577141284942628
0.1,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9041750000000001,0.04231752877007389,52357756794.58839,48695172464.79743,25.67680484784363,0.00041994690895080566
0.1,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9069687500000001,0.03185296126964852,35685283681.005455,20415728718.98688,24.536831135573863,0.0035542309284210204
0.1,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.9020625,0.03425530210583187,7424283936067.505,5195293104021.893,18.969182692227548,7.503390312194824e-05
0.2,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.77905625,0.049042736193079806,6005816387.542192,3347384907.808777,20.75111583955463,0.001174365282058716
0.2,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.8063375,0.05808535755732947,10895108083.693768,9318277945.304384,21.877466390668317,0.0004178452491760254
0.2,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.81063125,0.044663207413032924,7962319956.454275,4370818736.212507,21.19390024668606,0.0031049656867980957
0.2,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,True,7200,800,200,0.80365625,0.04353923343004423,1192274092959.7273,804102497667.338,15.867176661417655,8.996963500976563e-05
