alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,1,31.809845371979527,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,2,32.00096672415865,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,3,28.05205459884935,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,4,28.44867447166356,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,5,20.154517530679193,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,6,20.399186898915424,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,7,16.124389757158895,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,8,9.365277942570351,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,9,7.02390943303279,0.0,equicorrelated,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,10,5.232094542459471,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,1,37.50102483410748,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,2,49.855723906500266,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,3,58.36177172053742,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,4,49.71796068513023,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,5,38.46781607691244,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,6,22.28326262624031,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,7,14.15917287296427,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,8,13.499559884075685,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,9,10.882038879602668,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,10,6.328516508423693,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,1,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,2,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,3,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,4,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,5,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,6,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,7,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,8,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,9,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,10,20.831831341640203,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,1,20.831831341633823,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,2,21.6807039872067,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,3,22.87203132200313,0.0,equicorrelated,True,7200,800
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,4,19.48451392979657,0.0,equicorrelated,True,7200,800
