alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,1,28.090694864697035,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,2,34.23793019070444,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,3,27.31013482372898,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,4,17.871154572193163,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,5,17.201083232462146,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,6,13.331794177421436,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,7,12.44838156125542,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,8,9.616942553463815,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,9,5.262162150950087,0.5,1.5,True,7200,800
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,10,2.9409070460125872,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,1,30.062141282200972,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,2,77.23143990371241,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,3,53.58969291421124,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,4,27.570353616034417,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,5,30.254596483451913,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,6,20.353455103884244,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,7,22.374501370443227,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,8,15.559273929131326,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,9,5.209116498863019,0.5,1.5,True,7200,800
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,10,3.475678325910654,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,1,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,2,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,3,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,4,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,5,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,6,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,7,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,8,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,9,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,10,27.77583456650722,0.5,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,1,30.062141282200972,0.5,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,2,30.69788721507495,0.5,1.5,True,7200,800
