alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,1,60.69816358659011,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,2,39.69914543051726,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,3,28.734062677582223,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,4,30.23504299802437,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,5,23.109648266825054,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,6,20.081588028559576,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,7,15.795406689084949,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,8,13.823460521870476,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,9,7.498553678370627,True,7200,800
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,10,4.437133791215226,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,2,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,3,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,4,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,5,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,6,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,7,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,8,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,9,inf,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,10,inf,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,1,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,2,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,3,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,4,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,5,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,6,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,7,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,8,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,9,28.76310313184437,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,10,28.76310313184437,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,1,28.763103131766975,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,2,16.588863798286887,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,3,13.88845387311561,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,4,16.085072021391063,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,5,9.652314234793632,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,6,8.719474510494258,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,7,7.185067338184833,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,8,5.815216686189766,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,9,3.092678839356733,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,10,1.683208702181453,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,1,54.85477552450549,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,2,52.77756877463705,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,3,42.33001948801195,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,4,36.36684317838012,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,5,26.65942583833497,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,6,22.516332651881864,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,7,14.123795455245883,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,8,17.225221622707483,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,9,9.14411805189768,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,10,3.845892392343921,True,7200,800
0.1,10,10,1,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
