alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,contamination_fraction,contamination_multiplier
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,24.273720326306588,2.9283311048345237,24.118519646610793,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,21.742589537686467,2.5105688465860423,21.645749276219732,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,19.51184948523775,2.1355425140471818,19.336855634678606,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,16.956764097644136,2.0035623900320205,16.858644826637068,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,14.359271393591323,1.6445203588811994,14.438461002320397,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,12.089010535710905,1.3979705652627117,12.086855359479674,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,9.540334379403655,1.1144068185860798,9.49600701154897,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,7.30848228100656,0.7744435225248792,7.202683176502255,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,4.7704155296082,0.5964712309358656,4.725403172404802,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.460193272292458,0.3324235876409186,2.4533604245185767,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,26.79342953100084,3.4256329526219145,26.842517185209992,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,24.101812239710497,3.462360021798364,23.532938339768375,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,21.97885025528813,3.187147093527038,21.570640310660707,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,19.152975448913242,2.664261207891045,19.004224205004206,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,15.977235626380956,2.166856268443242,15.710984268142688,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,13.552995789097563,1.7882263158275256,13.551030544524735,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,10.777579241911093,1.484643145888975,10.661599391155535,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,8.22497123658291,1.0980249824754313,8.143703019525308,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,5.3777700696276325,0.7713518016348899,5.300275027096353,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.716524455812179,0.391001385690992,2.6925864020913903,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,26.264998433005594,2.243211226507776,26.301762140454194,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,23.673492881377715,2.036731276847192,23.844732525453917,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,21.27163835984707,1.7857328390268261,21.255156468557207,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,18.451869460978997,1.6036524243937849,18.36521390777917,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,15.634429735982778,1.2501991597903608,15.557263090747691,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,13.204312615268272,1.1290185571091274,13.019432874648345,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,10.493592900553876,0.7923041857380908,10.443896267705728,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,7.974344195288048,0.6028544685940654,7.933962031514303,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,5.230317044255586,0.45521042941790074,5.20342121588592,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.658134978823162,0.24761338331672725,2.6518194802227164,0.0,10.0
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,19.71002468902263,1.201355584835556,19.64592708046976,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,25.795207983819996,3.860800770154719,25.672785513816137,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,22.906575939684206,3.372955502051263,22.58496200653591,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,20.994492107352336,3.972857585633306,20.545980936798387,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,17.95101211683199,2.5638265113865764,17.61890385802407,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,15.308037100651816,2.469731918995858,14.972448965484226,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,13.015738342537798,2.864339155121454,12.63156039257224,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,10.500852015617774,2.9611013120164937,10.110358781809312,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,7.769976539737914,1.069249776860801,7.6792602002261905,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,5.095514608338292,1.034140697314187,4.927869719760196,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.5994659038841985,0.5647181427293364,2.5314575271626287,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,27.175412399774977,3.629578454812819,26.883336205720386,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,24.61230848574611,3.7289436764130017,24.031839495421316,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,22.45373148837175,3.201796256302992,22.030685802851956,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,19.388913206984682,2.8271845239179805,19.05120098048768,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,16.227609282952805,2.233771133541532,16.02463514846969,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,13.71709483866495,1.8278832285005964,13.573053507023834,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,10.891868243100738,1.5757685987488188,10.730092999630003,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,8.32765292592074,1.1361244388299347,8.223731964119033,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,5.474542608832246,0.8206748174965148,5.300151271138919,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.7658138324592287,0.3983865347124829,2.762498667258548,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,31.52568165079811,10.727976404643423,27.551483708604934,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,28.227899929824627,8.8021138964475,24.96695612915122,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,25.80401102627408,9.89233123804706,22.474936977068552,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,22.550960399018173,7.438837261743179,19.386628129578153,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,18.802237054846277,6.610445165647002,16.484645077673136,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,15.6508634412736,4.95405126952251,14.303988948534597,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,12.648607653110327,4.259499291372162,11.079587944366773,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,9.812044088105301,3.2940823679020452,8.50352050454375,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,6.367222733204955,2.3337754402084765,5.471848177305465,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,3.0861895645893593,1.1232165285168731,2.73992257326789,0.01,10.0
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,20.11474251548485,1.3513341439672348,20.033762366104128,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,33.15304687904732,16.772200845985218,27.489008810547105,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,30.291003893367364,16.723145234733146,24.424851053076434,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,27.028942007266167,12.744793036983651,22.39466567850378,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,22.505450718793213,12.19372682468055,18.824958510126116,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,20.463732039668503,10.370255793114017,16.168838408132647,0.05,10.0
