alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,contamination_fraction,contamination_multiplier,redraw_train_test,n_train,n_test
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,1,24.390217708393223,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,2,24.29948987109011,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,3,19.92437854581318,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,4,18.644913899432897,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,5,15.543063231349315,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,6,13.672446987764985,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,7,10.405121167110481,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,8,7.8799666875341945,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,9,4.941424213794949,0.0,10.0,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.220149350809608,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,1,22.862144420074756,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,2,21.952827552853556,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,3,21.276563705934493,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,4,22.691493424435244,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,5,16.96110680687609,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,6,14.350908254375504,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,7,12.609613072637984,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,8,8.596819760920921,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,9,4.981678434860466,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,10,2.746825519845837,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,1,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,2,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,3,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,4,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,5,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,6,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,7,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,8,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,9,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,10,19.647415712369323,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,24.312631049897238,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,21.952827552853556,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,16.824028127025095,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,18.34756120454056,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,15.11574726878939,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,13.392846344906516,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,9.155205217139553,0.0,10.0,True,7200,800
