alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,contamination_fraction,contamination_multiplier,redraw_train_test,n_train,n_test
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,0.87,42086878369.897,24.390217708393223,0.003999948501586914,0.0,10.0,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,0.91125,87488691372.9779,22.862144420074756,0.001001596450805664,0.0,10.0,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,0.9025,8571450929755.129,19.647415712369323,0.0,0.0,10.0,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.775,17102273895.538721,24.312631049897238,0.0009996891021728516,0.0,10.0,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,0.89875,48989979117.33783,31.29192443464092,0.003998279571533203,0.0,10.0,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,0.83625,24039220628.322926,27.364690978388623,0.0,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,0.8925,6889904108575.896,19.223006719731334,0.0,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.8275,22468720645.36325,27.14986237208483,0.002001047134399414,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,0.90875,49760743113.60342,24.492631435872575,0.0040013790130615234,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,0.905,55764597422.62737,27.11784354918266,0.0,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,0.91625,9177652148858.924,19.782134908691408,0.0,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,0.8175,19165220954.470715,21.511632228318494,0.0010020732879638672,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,0.9,53944460073.50507,22.749032388890395,0.0029981136322021484,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,0.93375,103219921721.17744,25.4437719857859,0.0010013580322265625,0.0,10.0,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,0.89125,6294696288355.943,19.05010957600187,0.0,0.0,10.0,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.82375,28903368610.217163,22.092568589920013,0.0010004043579101562,0.0,10.0,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,0.89625,41927947139.20234,22.837544618734302,0.003999233245849609,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,0.93125,67119631779.97786,25.84878109601855,0.0,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,0.83,2305204514337.65,17.229431435640354,0.0010013580322265625,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.77375,15537489566.563246,19.737355447462235,0.0009996891021728516,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,0.895,49127627395.507545,26.2670841210901,0.004007101058959961,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,0.9375,130068834090.13544,28.6183858782155,0.0009984970092773438,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,0.91125,6786048558663.156,19.193832314314744,0.0,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.82125,19422721111.31376,25.934302765893342,0.0009932518005371094,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,0.81125,25351364530.848057,23.349572328635634,0.003010988235473633,0.0,10.0,True,7200,800
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,0.89,76538959874.28227,25.472647170935183,0.0009975433349609375,0.0,10.0,True,7200,800
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,0.78875,2141194979212.2678,17.102737168998505,0.0,0.0,10.0,True,7200,800
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.73,14953288847.846584,20.64672189601729,0.0009989738464355469,0.0,10.0,True,7200,800
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,0.9175,68189273727.77845,26.68130648677685,0.002996206283569336,0.0,10.0,True,7200,800
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,0.9025,61179219686.71153,27.688779280977847,0.0,0.0,10.0,True,7200,800
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,0.8575,3642522001930.7344,18.03599965685975,0.0,0.0,10.0,True,7200,800
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.82125,25514455420.242,25.926468562021917,0.0009996891021728516,0.0,10.0,True,7200,800
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,0.91125,64958076428.32806,25.33516628110831,0.003999948501586914,0.0,10.0,True,7200,800
0.1,10,100,8,Point_CHR,Gaussian,absolute_residual,0.93375,97632483725.15656,24.027839308075755,0.0,0.0,10.0,True,7200,800
0.1,10,100,8,Unscaled,Gaussian,absolute_residual,0.825,3098142361424.129,17.746394720545272,0.0,0.0,10.0,True,7200,800
0.1,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.77375,18348716110.63968,19.081082869095056,0.0010001659393310547,0.0,10.0,True,7200,800
0.1,10,100,9,TSCP_R,Gaussian,absolute_residual,0.90375,45279951293.481476,26.894654329823442,0.004006624221801758,0.0,10.0,True,7200,800
0.1,10,100,9,Point_CHR,Gaussian,absolute_residual,0.845,40634476054.29395,28.526302248410126,0.0,0.0,10.0,True,7200,800
0.1,10,100,9,Unscaled,Gaussian,absolute_residual,0.9175,7214948140511.346,19.31182518247331,0.0,0.0,10.0,True,7200,800
0.1,10,100,9,Empirical_copula,Gaussian,absolute_residual,0.805,20548279994.393433,26.87989027636005,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,10,TSCP_R,Gaussian,absolute_residual,0.91375,55967042221.28407,24.2175934722192,0.0029976367950439453,0.0,10.0,True,7200,800
0.1,10,100,10,Point_CHR,Gaussian,absolute_residual,0.8625,42490537338.42678,25.38107141834717,0.0,0.0,10.0,True,7200,800
0.1,10,100,10,Unscaled,Gaussian,absolute_residual,0.92,10827398390719.766,20.11186808007452,0.001001596450805664,0.0,10.0,True,7200,800
0.1,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.77875,17199348879.748455,22.109216545437523,0.0010159015655517578,0.0,10.0,True,7200,800
0.1,10,100,11,TSCP_R,Gaussian,absolute_residual,0.945,105385547665.3482,27.10317609918592,0.004000663757324219,0.0,10.0,True,7200,800
0.1,10,100,11,Point_CHR,Gaussian,absolute_residual,0.93875,95986368432.49133,25.30422425897442,0.0,0.0,10.0,True,7200,800
0.1,10,100,11,Unscaled,Gaussian,absolute_residual,0.9025,7053379265472.537,19.268136916327233,0.0,0.0,10.0,True,7200,800
0.1,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.8725,36153576595.79316,25.5690771655496,0.002000570297241211,0.0,10.0,True,7200,800
0.1,10,100,12,TSCP_R,Gaussian,absolute_residual,0.89,44709199298.01145,25.19239916751743,0.0029976367950439453,0.0,10.0,True,7200,800
0.1,10,100,12,Point_CHR,Gaussian,absolute_residual,0.9225,98811244020.78362,27.660994346111405,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,12,Unscaled,Gaussian,absolute_residual,0.90875,9612497555497.969,19.87392397884413,0.0,0.0,10.0,True,7200,800
0.1,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.7125,10704145045.949476,24.663310297139567,0.0009944438934326172,0.0,10.0,True,7200,800
0.1,10,100,13,TSCP_R,Gaussian,absolute_residual,0.89125,59244602609.411224,26.283387845846566,0.00500798225402832,0.0,10.0,True,7200,800
0.1,10,100,13,Point_CHR,Gaussian,absolute_residual,0.91,109432193030.87561,28.240575638390467,0.0,0.0,10.0,True,7200,800
0.1,10,100,13,Unscaled,Gaussian,absolute_residual,0.91375,12812537027735.955,20.453305882695265,0.0,0.0,10.0,True,7200,800
0.1,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.8175,24595834272.203903,26.26959740300354,0.001996755599975586,0.0,10.0,True,7200,800
0.1,10,100,14,TSCP_R,Gaussian,absolute_residual,0.925,101296369120.32529,28.032245679201296,0.0029981136322021484,0.0,10.0,True,7200,800
0.1,10,100,14,Point_CHR,Gaussian,absolute_residual,0.89125,90388361005.72989,28.63550972180211,0.0010013580322265625,0.0,10.0,True,7200,800
0.1,10,100,14,Unscaled,Gaussian,absolute_residual,0.94125,14234057988622.861,20.669638116553028,0.0,0.0,10.0,True,7200,800
0.1,10,100,14,Empirical_copula,Gaussian,absolute_residual,0.84875,26974213556.049854,24.871141563318524,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,15,TSCP_R,Gaussian,absolute_residual,0.88625,64214645738.39573,31.366172125729136,0.004007816314697266,0.0,10.0,True,7200,800
0.1,10,100,15,Point_CHR,Gaussian,absolute_residual,0.90375,86235069278.91434,33.90407747547815,0.0,0.0,10.0,True,7200,800
0.1,10,100,15,Unscaled,Gaussian,absolute_residual,0.96,42553894789499.37,23.06183876878963,0.0,0.0,10.0,True,7200,800
0.1,10,100,15,Empirical_copula,Gaussian,absolute_residual,0.7875,20635810129.621838,29.287821840892267,0.001999378204345703,0.0,10.0,True,7200,800
0.1,10,100,16,TSCP_R,Gaussian,absolute_residual,0.905,51313636242.313644,27.906246699681905,0.002998828887939453,0.0,10.0,True,7200,800
0.1,10,100,16,Point_CHR,Gaussian,absolute_residual,0.87,30005408591.411884,24.994341993801843,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,16,Unscaled,Gaussian,absolute_residual,0.875,6055965671608.728,18.97659725129734,0.0,0.0,10.0,True,7200,800
0.1,10,100,16,Empirical_copula,Gaussian,absolute_residual,0.8125,19930585279.512093,22.515127240797714,0.0009944438934326172,0.0,10.0,True,7200,800
0.1,10,100,17,TSCP_R,Gaussian,absolute_residual,0.95375,119344022774.8935,29.430878072886998,0.0030145645141601562,0.0,10.0,True,7200,800
0.1,10,100,17,Point_CHR,Gaussian,absolute_residual,0.9525,124234450600.16255,32.0631560709723,0.0,0.0,10.0,True,7200,800
0.1,10,100,17,Unscaled,Gaussian,absolute_residual,0.95375,22754769114964.55,21.6624335403441,0.0,0.0,10.0,True,7200,800
0.1,10,100,17,Empirical_copula,Gaussian,absolute_residual,0.89125,34814286344.931816,25.4269004493554,0.0010004043579101562,0.0,10.0,True,7200,800
0.1,10,100,18,TSCP_R,Gaussian,absolute_residual,0.9325,71411623983.44788,25.4763822448874,0.004005908966064453,0.0,10.0,True,7200,800
0.1,10,100,18,Point_CHR,Gaussian,absolute_residual,0.9775,231038860787.7054,26.884891694341633,0.0,0.0,10.0,True,7200,800
0.1,10,100,18,Unscaled,Gaussian,absolute_residual,0.91125,5595490939093.731,18.827116920659257,0.0,0.0,10.0,True,7200,800
0.1,10,100,18,Empirical_copula,Gaussian,absolute_residual,0.80625,25248363666.087803,25.168818591018077,0.0009942054748535156,0.0,10.0,True,7200,800
0.1,10,100,19,TSCP_R,Gaussian,absolute_residual,0.925,84758423070.71588,30.11441711493,0.004007577896118164,0.0,10.0,True,7200,800
0.1,10,100,19,Point_CHR,Gaussian,absolute_residual,0.9475,263657290823.28778,33.22416054048677,0.00099945068359375,0.0,10.0,True,7200,800
