alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,0.0,True,2400,600,30,46.182691243136595,5.1664030236048095,45.24805134883907,10.223137603270903,17.97977681993283
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,0.0,True,2400,600,30,120.5249163267772,105.38978031683959,76.24342381151335,10.742954232209915,54.89098104728365
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,0.0,True,2400,600,30,66.88599386232661,87.43680681422998,40.07247180471519,5.94839163563017,30.468801113348203
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,35.04982119980738,4.4930026118343305,34.89842641652588,10.223137603270903,12.41334179826824
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,35.362830786149,3.2710165174573116,35.75163761387213,10.742954232209915,12.309938276969541
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,20.1517052548478,2.4697632884607357,20.323682786320596,5.94839163563017,7.101656809608816
0.1,3,100,TSCP_GWC,Gaussian,1,cqr,shifted,0.5,100.0,True,2400,600,30,36.258923415717874,3.8687258216901195,35.898471239307604,10.223137603270903,13.01789290622349
0.1,3,100,TSCP_GWC,Gaussian,2,cqr,shifted,0.5,100.0,True,2400,600,30,37.25821948175461,3.2703493995755637,38.08433688479695,10.742954232209915,13.257632624772345
0.1,3,100,TSCP_GWC,Gaussian,3,cqr,shifted,0.5,100.0,True,2400,600,30,20.887776431744904,1.9639056607595462,21.271695561363835,5.94839163563017,7.4696923980573695
0.1,3,100,TSCP_R,Gaussian,1,cqr,shifted,0.5,100.0,True,2400,600,30,36.258923415717874,3.8687258216901195,35.898471239307604,10.223137603270903,13.01789290622349
0.1,3,100,TSCP_R,Gaussian,2,cqr,shifted,0.5,100.0,True,2400,600,30,37.25821948175461,3.2703493995755637,38.08433688479695,10.742954232209915,13.257632624772345
0.1,3,100,TSCP_R,Gaussian,3,cqr,shifted,0.5,100.0,True,2400,600,30,20.887776431744904,1.9639056607595462,21.271695561363835,5.94839163563017,7.4696923980573695
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,33.30318575091564,2.8877902056669544,33.828440171788415,10.223137603270903,11.540024073822371
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,33.82300237985466,2.805389754349286,34.30855809449715,10.742954232209915,11.540024073822371
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,29.028439783274912,2.82942528331845,29.5432803757856,5.94839163563017,11.540024073822371
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,0.0,True,2400,600,30,46.182691243136595,5.1664030236048095,45.24805134883907,10.223137603270903,17.97977681993283
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,0.0,True,2400,600,30,120.5249163267772,105.38978031683959,76.24342381151335,10.742954232209915,54.89098104728365
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,0.0,True,2400,600,30,66.88599386232661,87.43680681422998,40.07247180471519,5.94839163563017,30.468801113348203
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,35.04982119980738,4.4930026118343305,34.89842641652588,10.223137603270903,12.41334179826824
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,35.362830786149,3.2710165174573116,35.75163761387213,10.742954232209915,12.309938276969541
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,20.1517052548478,2.4697632884607357,20.323682786320596,5.94839163563017,7.101656809608816
0.1,3,100,TSCP_GWC,Gaussian,1,cqr,shifted,0.5,300.0,True,2400,600,30,36.25892341571798,3.868725821690111,35.89847123930809,10.223137603270903,13.017892906223546
0.1,3,100,TSCP_GWC,Gaussian,2,cqr,shifted,0.5,300.0,True,2400,600,30,37.25821948175471,3.270349399575623,38.08433688479743,10.742954232209915,13.257632624772391
0.1,3,100,TSCP_GWC,Gaussian,3,cqr,shifted,0.5,300.0,True,2400,600,30,20.88777643174495,1.9639056607595837,21.271695561363867,5.94839163563017,7.469692398057392
0.1,3,100,TSCP_R,Gaussian,1,cqr,shifted,0.5,300.0,True,2400,600,30,36.25892341571798,3.868725821690111,35.89847123930809,10.223137603270903,13.017892906223546
0.1,3,100,TSCP_R,Gaussian,2,cqr,shifted,0.5,300.0,True,2400,600,30,37.25821948175471,3.270349399575623,38.08433688479743,10.742954232209915,13.257632624772391
0.1,3,100,TSCP_R,Gaussian,3,cqr,shifted,0.5,300.0,True,2400,600,30,20.88777643174495,1.9639056607595837,21.271695561363867,5.94839163563017,7.469692398057392
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,33.30318575091564,2.8877902056669544,33.828440171788415,10.223137603270903,11.540024073822371
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,33.82300237985466,2.805389754349286,34.30855809449715,10.742954232209915,11.540024073822371
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,29.028439783274912,2.82942528331845,29.5432803757856,5.94839163563017,11.540024073822371
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,0.0,True,2400,600,30,46.182691243136595,5.1664030236048095,45.24805134883907,10.223137603270903,17.97977681993283
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,0.0,True,2400,600,30,120.5249163267772,105.38978031683959,76.24342381151335,10.742954232209915,54.89098104728365
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,0.0,True,2400,600,30,66.88599386232661,87.43680681422998,40.07247180471519,5.94839163563017,30.468801113348203
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,35.04982119980738,4.4930026118343305,34.89842641652588,10.223137603270903,12.41334179826824
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,35.362830786149,3.2710165174573116,35.75163761387213,10.742954232209915,12.309938276969541
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,20.1517052548478,2.4697632884607357,20.323682786320596,5.94839163563017,7.101656809608816
