alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length,redraw_train_test,n_train,n_test
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,0.0,1,10.14640665586093,15.942187581148403,42.03078181815775,True,2400,600
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.494385346736651,32.62843228853414,75.751249923805,True,2400,600
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.781018222452313,15.814135493418084,37.40928920928849,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,1,10.14640665586093,12.7819100659448,35.71022678775049,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,2,10.494385346736651,10.667677182454355,31.829739711645384,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,3,5.781018222452313,7.551747402884843,20.884513028221996,True,2400,600
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,1,10.14640665586093,12.7819100659448,35.71022678775049,True,2400,600
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,2,10.494385346736651,10.667677182454355,31.829739711645384,True,2400,600
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,3,5.781018222452313,7.551747402884843,20.884513028221996,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,10.14640665586093,10.549800266489186,31.24600718883929,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.494385346736651,10.549800266489186,31.59398587971504,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,5.781018222452313,10.549800266489186,26.880618755430675,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,10.14640665586093,12.631277203493823,35.40896106284853,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.494385346736651,10.015201343260177,30.524788033257014,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,5.781018222452313,7.337221941990364,20.455462106433057,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,0.0,1,10.236430648168458,14.705769718981186,39.64797008613096,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.685744362417692,24.604499107493222,59.89474257740419,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.780656523009942,12.669579587716633,31.11981569844322,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,1,10.236430648168458,11.337165743482046,32.91076213513255,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,2,10.685744362417692,11.519629597480986,33.725003557379644,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,3,5.780656523009942,6.154503385905684,18.089663294821282,True,2400,600
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,1,10.236430648168458,11.337165743482046,32.91076213513255,True,2400,600
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,2,10.685744362417692,11.519629597480986,33.725003557379644,True,2400,600
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,3,5.780656523009942,6.154503385905684,18.089663294821282,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,10.236430648168458,11.163522963983844,32.563476576136125,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.685744362417692,11.163522963983844,33.012790290385375,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,5.780656523009942,11.163522963983844,28.10770245097763,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,10.236430648168458,10.977293494920945,32.191017638010365,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.685744362417692,11.270837861018933,33.22742008445558,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,5.780656523009942,5.364964690902262,16.510585904814448,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,0.0,1,9.865025703890662,17.308726342791353,44.48247838947315,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.578586958687278,34.70814323906655,79.99487343682046,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.816975876807386,19.67672238665754,45.17042065012245,True,2400,600
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,1,9.865025703890662,12.901620996840379,35.668267697571416,True,2400,600
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,2,10.578586958687278,14.301642787457467,39.18187253360226,True,2400,600
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,3,5.816975876807386,7.821382332193778,21.459740541194936,True,2400,600
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,1,9.865025703890662,12.901620996840379,35.668267697571416,True,2400,600
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,2,10.578586958687278,14.301642787457467,39.18187253360226,True,2400,600
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,3,5.816975876807386,7.821382332193778,21.459740541194936,True,2400,600
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,9.865025703890662,12.240974749876104,34.34697520364287,True,2400,600
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.578586958687278,12.240974749876104,35.060536458439465,True,2400,600
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,5.816975876807386,12.240974749876104,30.298925376559602,True,2400,600
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,9.865025703890662,12.50718203938193,34.879389782654506,True,2400,600
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.578586958687278,13.116258123588366,36.81110320586401,True,2400,600
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,5.816975876807386,9.005642209539332,23.82826029588604,True,2400,600
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,0.0,1,10.10753224977452,19.14199140598915,48.39151506175269,True,2400,600
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.635897940049047,30.62869504530411,71.89328803065725,True,2400,600
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,0.0,3,6.046131485288227,14.807761186245864,35.66165385777999,True,2400,600
