alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,1,2.71667956664078,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,2,2.4882131963864182,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,3,2.767580531573148,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,4,2.6523073332957914,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,5,2.3565586247717345,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,6,2.6056592591511865,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,7,2.597599654421532,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,8,2.511201210766438,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,9,2.8176632781367648,True,7200,800,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.5206664671287426,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,1,2.961576127389721,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,2,2.6923330623232937,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,3,2.5522853817431628,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,4,2.7242797297242634,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,5,2.170524887000875,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,6,2.793165974704877,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,7,2.279911341268246,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,8,2.682478411273006,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,9,2.4483632452643764,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,10,2.7122180116502257,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,1,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,2,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,3,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,4,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,5,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,6,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,7,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,8,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,9,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,10,2.5974605066319167,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,2.7767868237975613,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,2.6831863206725277,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,2.6680032373395024,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,2.154497769509192,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,2.196208760384952,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,2.187121319080372,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,2.59746050653924,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,8,1.9635391052645108,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,9,2.4944779609238132,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,10,2.029156574146985,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,1,2.8373796712302672,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,2,2.413279163277646,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,3,2.376203800357353,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,4,2.554320471313214,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,5,2.9262132304835573,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,6,2.650545759827762,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,7,2.5475464893413333,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,8,2.831449984192479,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,9,2.39844108029152,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,10,2.586293439948881,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,1,3.1001941624803457,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,2,2.2547424090354506,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,3,2.5891218864126095,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,4,2.979818016109881,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,5,3.4121238479107325,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,6,2.714399398179208,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,7,2.6405309126942864,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,8,3.0660396782024213,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,9,2.6258251866973046,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,10,2.6095686685020394,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,1,2.582899581049953,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,2,2.582899581049953,True,7200,800,1
