alpha,n_dim,n_cal,method,noise_type,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,noise_ratio
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.82079375,0.036417839979622724,6890.107318589434,2575.8335292606,2.844966975665871,0.0011706411838531493,1
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9039625,0.03951299600150658,27254.303534571976,35903.27003947337,3.2305688063280478,0.000395665168762207,1
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9069875000000001,0.029018759635863502,17959.757851519433,8294.486027899371,2.934070543164858,0.0037260055541992188,1
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9021375,0.027953262657802225,14260.184050778318,6371.866863191457,2.575771373493854,7.007956504821777e-05,1
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.82079375,0.036417839979622724,220483.43419486203,82426.67293633978,4.976223457553022,0.0011805033683776856,2
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9039625,0.03951299600150658,872137.7131063066,1148904.641263197,5.67036969979087,0.00040515542030334473,2
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9069875000000001,0.029018759635863502,574712.2512486238,265423.55289278494,5.360047857981106,0.003722076416015625,2
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.90301875,0.029997193519272148,1717430.8693248087,1112456.6121892505,4.147525388674559,5.499720573425293e-05,2
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.82079375,0.036417839979622724,21531585.370592028,8049479.778939451,12.094921988797418,0.0011349594593048095,5
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9039625,0.03951299600150658,85169698.54553813,112197718.87336478,13.634401178516857,0.0004948770999908447,5
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9069875000000001,0.029018759635863502,56124243.2859983,25920268.837186005,13.163965027084352,0.0037677037715911866,5
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9018250000000001,0.029563097922815362,5892516969.211721,4060877471.4112935,9.37196318487732,5.510210990905762e-05,5
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.82079375,0.036417839979622724,689010731.8589449,257583352.92606252,24.087521869925993,0.0011852145195007323,10
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9039625,0.03951299600150658,2725430353.4572315,3590327003.9477115,27.163184263124137,0.0003945112228393555,10
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9069875000000001,0.029018759635863502,1795975785.1519494,829448602.7899598,26.23338738035433,0.003697582483291626,10
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.90178125,0.029927529064676984,4153937460041.003,2877072891248.652,17.900787824417428,5.043745040893555e-05,10
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.82079375,0.036417839979622724,22048343419.486237,8242667293.633999,48.08335480886353,0.001168588399887085,20
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9039625,0.03951299600150658,87213771310.63185,114890464126.32883,54.17784354241056,0.00044100165367126463,20
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9069875000000001,0.029018759635863502,57471225124.86221,26542355289.27867,52.46677476070848,0.003632519245147705,20
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9016062499999999,0.03066176966570365,3438405475986590.5,2727517838307368.5,34.9007520733571,3.998517990112305e-05,20
