dataset,alpha,n_trials,n_cal,n_dim,fallback_count,fallback_rate,backward_run_count,backward_run_rate,nonfallback_runs,searched_coordinates,backward_coordinates,binary_candidates,backward_candidates,runtime_ms_mean,runtime_ms_sd,runtime_ms_median,fallback_one_sided95_upper,backward_one_sided95_upper,binary_only_count,binary_only_runtime_ms_mean,binary_only_runtime_ms_sd,binary_only_runtime_ms_median,any_backward_count,any_backward_runtime_ms_mean,any_backward_runtime_ms_sd,any_backward_runtime_ms_median,fallback_runtime_ms_mean,fallback_runtime_ms_sd,fallback_runtime_ms_median
stock,0.1,200,15,6,0,0.0,0,0.0,200,1200,0,4805,0,1.0070675,0.05950561473233738,1.0023,0.014867039231272056,0.014867039231272056,200,1.0070675,0.05950561473233738,1.0023,0,,,,,,
stock,0.3,200,15,6,0,0.0,0,0.0,200,1200,0,4805,0,0.973706,0.08891801013649128,0.96545,0.014867039231272056,0.014867039231272056,200,0.973706,0.08891801013649128,0.96545,0,,,,,,
stock,0.5,200,15,6,0,0.0,0,0.0,200,1200,0,4744,0,0.8035024999999999,0.11632067935659549,0.7958000000000001,0.014867039231272056,0.014867039231272056,200,0.8035024999999999,0.11632067935659549,0.7958000000000001,0,,,,,,
stock,0.7,200,15,6,11,0.055,0,0.0,189,1134,0,4295,0,0.6304275,0.1614164565836772,0.6376999999999999,0.08939613810734559,0.014867039231272056,189,0.6597,0.10867869587076491,0.6438,0,,,,0.1274727272727273,0.044689396749320535,0.1147
stock,0.9,200,15,6,139,0.695,0,0.0,61,366,0,1348,0,0.24012700000000003,0.1933833030031342,0.1192,0.7486077137062745,0.014867039231272056,61,0.5156901639344262,0.11055850895177333,0.5432,0,,,,0.11919640287769785,0.017821304666337603,0.1145
rf2,0.1,200,384,8,0,0.0,0,0.0,200,1600,0,12592,0,2.7798255,0.18625319585062924,2.75785,0.014867039231272056,0.014867039231272056,200,2.7798255,0.18625319585062924,2.75785,0,,,,,,
rf2,0.3,200,384,8,0,0.0,0,0.0,200,1600,0,12593,0,2.45469,0.21826604185059487,2.42795,0.014867039231272056,0.014867039231272056,200,2.45469,0.21826604185059487,2.42795,0,,,,,,
rf2,0.5,200,384,8,0,0.0,0,0.0,200,1600,0,12580,0,2.2613665,0.20617633845922342,2.248,0.014867039231272056,0.014867039231272056,200,2.2613665,0.20617633845922342,2.248,0,,,,,,
rf2,0.7,200,384,8,0,0.0,0,0.0,200,1600,0,12550,0,2.178474,0.231086176629295,2.1844,0.014867039231272056,0.014867039231272056,200,2.178474,0.231086176629295,2.1844,0,,,,,,
rf2,0.9,200,384,8,185,0.925,0,0.0,15,120,0,951,0,0.4088980000000001,0.3337045694839559,0.3066,0.953202983485367,0.014867039231272056,15,1.5552133333333333,0.2136230788316745,1.5467,0,,,,0.31595351351351353,0.03400477270020312,0.3056
scm1d,0.1,200,490,16,0,0.0,0,0.0,200,3200,0,27123,0,7.239115999999999,0.3073107708712263,7.24385,0.014867039231272056,0.014867039231272056,200,7.239115999999999,0.3073107708712263,7.24385,0,,,,,,
scm1d,0.3,200,490,16,0,0.0,0,0.0,200,3200,0,26883,0,6.415789500000001,0.4164179711217031,6.405799999999999,0.014867039231272056,0.014867039231272056,200,6.415789500000001,0.4164179711217031,6.405799999999999,0,,,,,,
scm1d,0.5,200,490,16,0,0.0,0,0.0,200,3200,0,26822,0,5.9148055,0.3754146882589342,5.89465,0.014867039231272056,0.014867039231272056,200,5.9148055,0.3754146882589342,5.89465,0,,,,,,
scm1d,0.7,200,490,16,0,0.0,0,0.0,200,3200,0,26923,0,5.8634615000000005,0.40121303939760394,5.83815,0.014867039231272056,0.014867039231272056,200,5.8634615000000005,0.40121303939760394,5.83815,0,,,,,,
scm1d,0.9,200,490,16,180,0.9,0,0.0,20,320,0,2636,0,0.8961435,0.9032446548918535,0.5851500000000001,0.9327385988998603,0.014867039231272056,20,3.5351399999999997,0.5884756413149593,3.5309999999999997,0,,,,0.6029216666666667,0.07520118288844418,0.5818
