dataset,trial,n_cal,n_test,n_dim,alpha,fallback,any_backward,backward_coordinates,binary_coordinates,binary_candidates,backward_candidates,regime,runtime_ms,zero_scale_coordinates,fit_seconds
stock,0,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0357,0,0.04639009991660714
stock,1,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.0089,0,0.04922350007109344
stock,2,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0486,0,0.012961799977347255
stock,3,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.2818,0,0.016234999988228083
stock,4,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0334,0,0.01326459995470941
stock,5,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0042,0,0.019141800003126264
stock,6,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0016,0,0.01863659988157451
stock,7,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.1072,0,0.01832449994981289
stock,8,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0117,0,0.012642900226637721
stock,9,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0141,0,0.016392200021073222
stock,10,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9862,0,0.017358699813485146
stock,11,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9692,0,0.01784610003232956
stock,12,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0415,0,0.013518400024622679
stock,13,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9643,0,0.016447999980300665
stock,14,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.016,0,0.012940600048750639
stock,15,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0027,0,0.01307499990798533
stock,16,15,64,6,0.1,0,0,0,6,25,0,binary_only,0.999,0,0.01301150000654161
stock,17,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9936,0,0.01897500013001263
stock,18,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0198,0,0.015814100159332156
stock,19,15,64,6,0.1,0,0,0,6,26,0,binary_only,1.3086,0,0.017762099858373404
stock,20,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9962,0,0.018547500018030405
stock,21,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0134,0,0.01532249990850687
stock,22,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0157,0,0.013758799992501736
stock,23,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.0103,0,0.015584399923682213
stock,24,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0067,0,0.013415099820122123
stock,25,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9851,0,0.014005200006067753
stock,26,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9809,0,0.017302699852734804
stock,27,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9286,0,0.015085600083693862
stock,28,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0326,0,0.014784999890252948
stock,29,15,64,6,0.1,0,0,0,6,22,0,binary_only,0.9155,0,0.016647999873384833
stock,30,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9289,0,0.01601190003566444
stock,31,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0185,0,0.01540119992569089
stock,32,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9769,0,0.013954700203612447
stock,33,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.1379,0,0.013941599987447262
stock,34,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9679,0,0.013130899984389544
stock,35,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0475,0,0.016204899875447154
stock,36,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9709,0,0.0174579001031816
