alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,0.89,983682.4916492836,78.27676705259984,16.512916635677215,0.0,True,2400,600
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9316666666666666,34863.90197274407,40.02954183122499,,0.0009877681732177734,True,2400,600
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8616666666666667,21327.622934348696,29.41836564808178,,0.0,True,2400,600
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7733333333333333,14281.323386256478,28.142239764733414,,0.0,True,2400,600
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,0.96,8311005.91382772,136.00291015019997,33.45555858112513,0.0,True,2400,600
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9516666666666667,48927.15160969362,48.65776675842895,,0.0010004043579101562,True,2400,600
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9183333333333333,34841.07032743462,34.109059741496786,,0.0,True,2400,600
0.1,3,30,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9033333333333333,30154.513114577494,36.14254008966857,,0.0,True,2400,600
0.1,3,30,2,CQHR,Gaussian,cqr,native,0.5,0.0,0.9183333333333333,1450940.2586131927,86.62305116989289,20.445568291289693,0.0,True,2400,600
0.1,3,30,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9466666666666667,34175.22547815344,37.347992257713315,,0.0009982585906982422,True,2400,600
0.1,3,30,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8833333333333333,24360.396988724686,30.29513625539769,,0.001007080078125,True,2400,600
0.1,3,30,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.825,15986.647139782266,29.922192058306937,,0.0,True,2400,600
0.1,3,30,3,CQHR,Gaussian,cqr,native,0.5,0.0,0.8983333333333333,803656.6429865543,77.03278836859958,19.949697872780153,0.0,True,2400,600
