dataset,trial,n_cal,n_test,n_dim,coordinate,target,branch,binary_candidates,backward_candidates
stock,0,15,64,6,1,Annual Return,binary,4,0
stock,0,15,64,6,2,Excess Return,binary,4,0
stock,0,15,64,6,3,Systematic Risk,binary,4,0
stock,0,15,64,6,4,Total Risk,binary,4,0
stock,0,15,64,6,5,Abs. Win Rate,binary,4,0
stock,0,15,64,6,6,Rel. Win Rate,binary,4,0
stock,1,15,64,6,1,Annual Return,binary,4,0
stock,1,15,64,6,2,Excess Return,binary,4,0
stock,1,15,64,6,3,Systematic Risk,binary,4,0
stock,1,15,64,6,4,Total Risk,binary,4,0
stock,1,15,64,6,5,Abs. Win Rate,binary,3,0
stock,1,15,64,6,6,Rel. Win Rate,binary,4,0
stock,2,15,64,6,1,Annual Return,binary,4,0
stock,2,15,64,6,2,Excess Return,binary,4,0
stock,2,15,64,6,3,Systematic Risk,binary,4,0
stock,2,15,64,6,4,Total Risk,binary,4,0
stock,2,15,64,6,5,Abs. Win Rate,binary,4,0
stock,2,15,64,6,6,Rel. Win Rate,binary,4,0
stock,3,15,64,6,1,Annual Return,binary,5,0
stock,3,15,64,6,2,Excess Return,binary,4,0
stock,3,15,64,6,3,Systematic Risk,binary,3,0
stock,3,15,64,6,4,Total Risk,binary,4,0
stock,3,15,64,6,5,Abs. Win Rate,binary,4,0
stock,3,15,64,6,6,Rel. Win Rate,binary,4,0
stock,4,15,64,6,1,Annual Return,binary,4,0
stock,4,15,64,6,2,Excess Return,binary,4,0
stock,4,15,64,6,3,Systematic Risk,binary,4,0
stock,4,15,64,6,4,Total Risk,binary,4,0
stock,4,15,64,6,5,Abs. Win Rate,binary,4,0
stock,4,15,64,6,6,Rel. Win Rate,binary,4,0
stock,5,15,64,6,1,Annual Return,binary,4,0
stock,5,15,64,6,2,Excess Return,binary,4,0
stock,5,15,64,6,3,Systematic Risk,binary,4,0
stock,5,15,64,6,4,Total Risk,binary,4,0
stock,5,15,64,6,5,Abs. Win Rate,binary,4,0
stock,5,15,64,6,6,Rel. Win Rate,binary,4,0
stock,6,15,64,6,1,Annual Return,binary,4,0
stock,6,15,64,6,2,Excess Return,binary,4,0
stock,6,15,64,6,3,Systematic Risk,binary,4,0
stock,6,15,64,6,4,Total Risk,binary,4,0
stock,6,15,64,6,5,Abs. Win Rate,binary,4,0
stock,6,15,64,6,6,Rel. Win Rate,binary,4,0
stock,7,15,64,6,1,Annual Return,binary,5,0
stock,7,15,64,6,2,Excess Return,binary,4,0
stock,7,15,64,6,3,Systematic Risk,binary,3,0
stock,7,15,64,6,4,Total Risk,binary,3,0
stock,7,15,64,6,5,Abs. Win Rate,binary,4,0
stock,7,15,64,6,6,Rel. Win Rate,binary,4,0
stock,8,15,64,6,1,Annual Return,binary,4,0
stock,8,15,64,6,2,Excess Return,binary,4,0
stock,8,15,64,6,3,Systematic Risk,binary,4,0
stock,8,15,64,6,4,Total Risk,binary,4,0
stock,8,15,64,6,5,Abs. Win Rate,binary,5,0
stock,8,15,64,6,6,Rel. Win Rate,binary,4,0
stock,9,15,64,6,1,Annual Return,binary,4,0
stock,9,15,64,6,2,Excess Return,binary,4,0
stock,9,15,64,6,3,Systematic Risk,binary,4,0
stock,9,15,64,6,4,Total Risk,binary,4,0
stock,9,15,64,6,5,Abs. Win Rate,binary,4,0
stock,9,15,64,6,6,Rel. Win Rate,binary,4,0
stock,10,15,64,6,1,Annual Return,binary,4,0
stock,10,15,64,6,2,Excess Return,binary,4,0
stock,10,15,64,6,3,Systematic Risk,binary,4,0
stock,10,15,64,6,4,Total Risk,binary,4,0
stock,10,15,64,6,5,Abs. Win Rate,binary,4,0
stock,10,15,64,6,6,Rel. Win Rate,binary,4,0
stock,11,15,64,6,1,Annual Return,binary,4,0
stock,11,15,64,6,2,Excess Return,binary,4,0
stock,11,15,64,6,3,Systematic Risk,binary,4,0
stock,11,15,64,6,4,Total Risk,binary,4,0
stock,11,15,64,6,5,Abs. Win Rate,binary,4,0
stock,11,15,64,6,6,Rel. Win Rate,binary,4,0
stock,12,15,64,6,1,Annual Return,binary,5,0
stock,12,15,64,6,2,Excess Return,binary,4,0
stock,12,15,64,6,3,Systematic Risk,binary,4,0
stock,12,15,64,6,4,Total Risk,binary,4,0
stock,12,15,64,6,5,Abs. Win Rate,binary,4,0
stock,12,15,64,6,6,Rel. Win Rate,binary,4,0
stock,13,15,64,6,1,Annual Return,binary,4,0
stock,13,15,64,6,2,Excess Return,binary,4,0
stock,13,15,64,6,3,Systematic Risk,binary,4,0
stock,13,15,64,6,4,Total Risk,binary,4,0
stock,13,15,64,6,5,Abs. Win Rate,binary,4,0
stock,13,15,64,6,6,Rel. Win Rate,binary,4,0
stock,14,15,64,6,1,Annual Return,binary,5,0
stock,14,15,64,6,2,Excess Return,binary,4,0
