alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,1.0,7058027427389.844,60.69816358659011,0.0020074844360351562,True,7200,800
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.001001596450805664,True,7200,800
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,0.99375,387576453739750.6,28.76310313184437,0.0,True,7200,800
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,0.48875,1951284480.0139308,28.763103131766975,0.0,True,7200,800
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,0.99875,22888721414113.773,54.85477552450549,0.0020067691802978516,True,7200,800
0.1,10,10,1,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,0.97625,50517628400751.84,23.460879851625418,0.0,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,0.495,3272193274.919853,23.46087985158153,0.0009996891021728516,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,1.0,110529886131611.3,47.338401064005936,0.002000093460083008,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,0.8775,5573384708420.412,18.819665592875623,0.0,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,0.5325,2964347602.0700107,18.819665592830585,0.0,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,0.96,820280353220.5809,36.435923316746035,0.001999378204345703,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,0.90125,8242059806024.633,19.57057456600268,0.0,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,0.405,2177122746.839286,19.570574565957642,0.0010006427764892578,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,0.865,152346001182.5949,32.11985267472079,0.002001523971557617,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,0.93625,13310603084396.113,20.531457163582278,0.0,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,0.33125,954623052.472194,20.53145716353839,0.0,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,1.0,482741158049984.5,86.20675695939363,0.0020096302032470703,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.000997304916381836,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,0.995,177442555599292.03,26.601478692967866,0.0,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,0.48875,3107384026.9023924,26.60147869292283,0.0,True,7200,800
