alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.05,10,100,Empirical_copula,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,26.67731248354223,4.101365523941689,26.26694459814091
0.05,10,100,Empirical_copula,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,24.270816527422877,3.5860423785760625,24.10622972872791
0.05,10,100,Empirical_copula,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,21.431519775959405,2.986348702885788,21.193642761370384
0.05,10,100,Empirical_copula,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.806103399387126,2.75557239122339,18.41295608289687
0.05,10,100,Empirical_copula,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,16.126351389735422,2.340762405531103,15.87880328481248
0.05,10,100,Empirical_copula,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,13.43595424215076,1.8957485381459838,13.415716673513916
0.05,10,100,Empirical_copula,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,10.711371500098101,1.643981506869194,10.508961570727585
0.05,10,100,Empirical_copula,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,8.09328705112828,1.138600273789744,7.992575696458582
0.05,10,100,Empirical_copula,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,5.295731662944937,0.7085917616095956,5.2117584765582805
0.05,10,100,Empirical_copula,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,2.653978160081343,0.35918746585997935,2.6102434507673866
0.05,10,100,Point_CHR,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,29.916206568340403,5.010862582373854,29.2926085768139
0.05,10,100,Point_CHR,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,27.29608394295563,4.579039879720615,26.680766254865322
0.05,10,100,Point_CHR,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,24.189060521368344,3.712482699399931,23.504394292567312
0.05,10,100,Point_CHR,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,21.486111945955518,3.5149390917681864,21.022692853612966
0.05,10,100,Point_CHR,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,18.24337497007794,2.776035374694173,18.491741329319396
0.05,10,100,Point_CHR,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,14.812685743440959,2.406462307119882,14.45511238359836
0.05,10,100,Point_CHR,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,12.095577785228832,1.9546423431851607,11.82666093921044
0.05,10,100,Point_CHR,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,9.214744172693527,1.6603924847285008,8.886926119413289
0.05,10,100,Point_CHR,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,6.040211812126451,1.0101725636546366,5.8825923590901406
0.05,10,100,Point_CHR,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,3.0432172385172316,0.5029060566623648,3.037340638755256
0.05,10,100,TSCP_R,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,27.7421275379672,2.4030191772255423,27.679077936712964
0.05,10,100,TSCP_R,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,25.11463118994527,2.2684681307655876,25.00020058774232
