alpha,n_dim,n_cal,method,noise_type,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,contamination_fraction,contamination_multiplier
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.8183875,0.04056130782175365,24796033796.390236,9735695290.28925,24.692543528317827,0.0011618518829345703,0.0,10.0
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.8989375,0.04335631376705515,89152181014.3845,74221284218.22191,27.601026752850252,0.0003800523281097412,0.0,10.0
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.90426875,0.028312649408349263,61645030966.44329,26904765269.015594,26.425602340564453,0.0037527740001678466,0.0,10.0
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.90154375,0.03466661425865371,10455353963971.783,6928709544196.488,19.64592708046976,5.0064325332641605e-05,0.0,10.0
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.84701875,0.04717384678015657,59956016353.88549,117391131955.5997,26.21967546771564,0.001115412712097168,0.01,10.0
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.8971750000000001,0.040919710882329895,107297636253.12383,101701388209.79343,27.715528986744175,0.0004703688621520996,0.01,10.0
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.90405,0.030173347585619553,495066031930.10767,727619071771.7687,34.36217596784405,0.003344151973724365,0.01,10.0
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9006687499999999,0.03488649882027698,13383011016489.602,11245856643788.988,20.033762366104128,6.009340286254883e-05,0.01,10.0
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.85688125,0.04673326520070151,4953064216281613.0,7.002113550295708e+16,35.8808165139244,0.001105337142944336,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9005500000000001,0.039373557244047064,5.4168916355595757e+17,3.3390004382741724e+18,31.69328455156845,0.0004098153114318848,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.89948125,0.029706287694365355,1.9546827277097658e+17,2.673983569485422e+18,38.382371829971184,0.002524206638336182,0.05,10.0
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.89848125,0.03250697584102752,5.478552976312546e+17,7.631399445079996e+18,22.160844233821322,8.496642112731934e-05,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.8783187499999999,0.041395376819733605,7.139319516242701e+17,2.5566625642914043e+18,72.52983802612513,0.0011056089401245118,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.8997562499999999,0.04313061148037264,7.626999617918085e+19,6.097083591027672e+20,127.46814078990316,0.00039005279541015625,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9024,0.03115333289960748,3.314409717686013e+18,1.0238815112985852e+19,124.37570603229977,0.0026617360115051268,0.1,10.0
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9010375,0.031855591933555194,8.64903237471389e+19,3.0214675956329297e+20,64.332092561259,6.49106502532959e-05,0.1,10.0
