alpha,n_dim,n_cal,method,noise_type,df,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,30,Empirical_copula,t,1.5,absolute_residual,True,7200,800,200,0.7235187500000001,0.07712301705545614,5983064536529.959,61983818072812.58,50.6388092236847,0.0005072879791259765
0.1,10,30,Point_CHR,t,1.5,absolute_residual,True,7200,800,200,0.9406,0.06269604429187894,6.527893907737615e+30,9.225632483098212e+31,211.58756988561055,0.0004504871368408203
0.1,10,30,TSCP_R,t,1.5,absolute_residual,True,7200,800,200,0.9086875000000001,0.059894530154783826,1.5933688567515785e+20,2.0656561033892394e+21,84.4526922270657,0.0024079716205596922
0.1,10,500,Empirical_copula,t,1.5,absolute_residual,True,7200,800,200,0.8847812500000001,0.018236234870409613,2481081012198.963,2737734444127.4966,26.50395819877484,0.007840062379837037
0.1,10,500,Point_CHR,t,1.5,absolute_residual,True,7200,800,200,0.8994374999999999,0.02115640413514658,7565942551223.51,12492283743839.643,22.6574900900981,0.0005401194095611573
0.1,10,500,TSCP_R,t,1.5,absolute_residual,True,7200,800,200,0.897625,0.017324134268144626,84197164730157.3,543566958287118.9,55.74989556117442,0.0050144469738006596
0.1,10,30,Empirical_copula,t,2.0,absolute_residual,True,7200,800,200,0.7230187499999999,0.07852182160570967,2247787671.7705736,7119666732.035798,19.277496090867782,0.0005249607563018798
0.1,10,30,Point_CHR,t,2.0,absolute_residual,True,7200,800,200,0.9424875,0.054872366467638295,9.591646791210863e+18,8.869616312529684e+19,59.37064367047481,0.0004200780391693115
0.1,10,30,TSCP_R,t,2.0,absolute_residual,True,7200,800,200,0.9079875,0.05638875822378164,312081628861467.1,4050864830432610.5,27.842909042347166,0.0025772547721862795
0.1,10,500,Empirical_copula,t,2.0,absolute_residual,True,7200,800,200,0.88678125,0.017389473970258904,6975170533.346584,4740952556.107603,13.04716386970243,0.007951300144195556
0.1,10,500,Point_CHR,t,2.0,absolute_residual,True,7200,800,200,0.9020625,0.020251151558546888,18313765925.108437,35050279612.92976,11.741644067485558,0.0005255818367004394
0.1,10,500,TSCP_R,t,2.0,absolute_residual,True,7200,800,200,0.90058125,0.016454729610976677,30153446555.248203,39109444926.33771,18.054229028157835,0.005447119474411011
0.1,10,30,Empirical_copula,t,3.0,absolute_residual,True,7200,800,200,0.72454375,0.07660419808508404,32501387.66300966,306673621.62473345,9.487556277443636,0.0005444884300231934
0.1,10,30,Point_CHR,t,3.0,absolute_residual,True,7200,800,200,0.9355374999999999,0.06182341194948218,1781480966198062.8,1.8223873130815348e+16,22.152423086344236,0.0004053676128387451
0.1,10,30,TSCP_R,t,3.0,absolute_residual,True,7200,800,200,0.9118437500000001,0.050860055541514404,59185695239486.13,836745365487231.5,12.106492895008184,0.0027130138874053955
0.1,10,500,Empirical_copula,t,3.0,absolute_residual,True,7200,800,200,0.8861875,0.017566613169339326,35887473.16335027,17831806.32763913,7.166436137366718,0.0077801764011383055
0.1,10,500,Point_CHR,t,3.0,absolute_residual,True,7200,800,200,0.9005437500000001,0.020596696164725297,59256562.07012085,52721834.22537368,6.670722751832748,0.0005402231216430664
0.1,10,500,TSCP_R,t,3.0,absolute_residual,True,7200,800,200,0.90034375,0.017262811816053693,60724619.867461964,34670427.88529437,7.525983445672642,0.005485113859176636
