alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,2,30,0,TSCP_R,Gaussian,absolute_residual,0.9133333333333333,9.216283394313015,3.534060755968923,0.0009992122650146484,True,2400,600
0.1,2,30,0,Point_CHR,Gaussian,absolute_residual,0.9666666666666667,12.94813751067237,4.222435485187848,0.0010001659393310547,True,2400,600
0.1,2,30,0,Unscaled,Gaussian,absolute_residual,0.885,9.403479035766695,3.0665092590381486,0.0,True,2400,600
0.1,2,30,1,TSCP_R,Gaussian,absolute_residual,0.8266666666666667,6.173254669998765,3.7389704375118322,0.0,True,2400,600
0.1,2,30,1,Point_CHR,Gaussian,absolute_residual,0.83,6.205700006416365,3.5110146346618922,0.0010068416595458984,True,2400,600
0.1,2,30,1,Unscaled,Gaussian,absolute_residual,0.9033333333333333,12.29345990704034,3.506203061295843,0.0,True,2400,600
0.1,2,30,2,TSCP_R,Gaussian,absolute_residual,0.9366666666666666,9.490239722743697,5.000162424313094,0.0010068416595458984,True,2400,600
0.1,2,30,2,Point_CHR,Gaussian,absolute_residual,0.9283333333333333,8.670995805395187,4.671084876929269,0.0,True,2400,600
0.1,2,30,2,Unscaled,Gaussian,absolute_residual,0.965,15.283035008351202,3.9093522492033386,0.0,True,2400,600
0.1,2,30,3,TSCP_R,Gaussian,absolute_residual,0.9316666666666666,9.025227094845562,4.0032505862512675,0.0010082721710205078,True,2400,600
0.1,2,30,3,Point_CHR,Gaussian,absolute_residual,0.9283333333333333,8.682482092504792,3.903967399237059,0.0,True,2400,600
0.1,2,30,3,Unscaled,Gaussian,absolute_residual,0.9283333333333333,13.269310399018911,3.642706466216968,0.0,True,2400,600
0.1,2,30,4,TSCP_R,Gaussian,absolute_residual,0.9466666666666667,10.921794995428057,4.382577480497723,0.0009987354278564453,True,2400,600
0.1,2,30,4,Point_CHR,Gaussian,absolute_residual,0.955,15.65387655746804,4.295278287431454,0.0,True,2400,600
0.1,2,30,4,Unscaled,Gaussian,absolute_residual,0.8466666666666667,8.954806193058763,2.9924582190999365,0.0,True,2400,600
0.1,2,30,5,TSCP_R,Gaussian,absolute_residual,0.935,8.967086492515026,4.292692509253011,0.0010008811950683594,True,2400,600
0.1,2,30,5,Point_CHR,Gaussian,absolute_residual,0.9516666666666667,10.79240819277215,5.169043070978662,0.0,True,2400,600
0.1,2,30,5,Unscaled,Gaussian,absolute_residual,0.9,9.574514798457509,3.0942712871462175,0.0,True,2400,600
0.1,2,30,6,TSCP_R,Gaussian,absolute_residual,0.855,5.9233622342928784,3.6146450354354966,0.0010020732879638672,True,2400,600
0.1,2,30,6,Point_CHR,Gaussian,absolute_residual,0.8983333333333333,7.601511983133741,4.813220497861467,0.0,True,2400,600
0.1,2,30,6,Unscaled,Gaussian,absolute_residual,0.8716666666666667,9.027606804721179,3.004597611115535,0.0,True,2400,600
0.1,2,30,7,TSCP_R,Gaussian,absolute_residual,0.9516666666666667,10.224797695732725,4.457529529970783,0.0,True,2400,600
0.1,2,30,7,Point_CHR,Gaussian,absolute_residual,0.995,26.775812301102608,5.480688868485043,0.001001119613647461,True,2400,600
0.1,2,30,7,Unscaled,Gaussian,absolute_residual,0.8833333333333333,9.835896254192232,3.1362232468675173,0.0,True,2400,600
0.1,2,30,8,TSCP_R,Gaussian,absolute_residual,0.935,9.66263698847619,4.366694563523554,0.0009992122650146484,True,2400,600
0.1,2,30,8,Point_CHR,Gaussian,absolute_residual,0.9283333333333333,9.598303512475725,4.142392707151576,0.0,True,2400,600
0.1,2,30,8,Unscaled,Gaussian,absolute_residual,0.9516666666666667,16.81943529635205,4.1011504844801845,0.0,True,2400,600
0.1,2,30,9,TSCP_R,Gaussian,absolute_residual,0.9833333333333333,14.538948879684835,5.06575524490265,0.0010223388671875,True,2400,600
0.1,2,30,9,Point_CHR,Gaussian,absolute_residual,0.9866666666666667,26.304550459590647,5.191660194932513,0.0,True,2400,600
0.1,2,30,9,Unscaled,Gaussian,absolute_residual,0.9033333333333333,11.236280743596133,3.3520561963660653,0.0,True,2400,600
0.1,2,30,10,TSCP_R,Gaussian,absolute_residual,0.9616666666666667,9.914903529640913,4.559055850836706,0.0,True,2400,600
0.1,2,30,10,Point_CHR,Gaussian,absolute_residual,0.995,19.00211400401254,5.682850016544168,0.0010097026824951172,True,2400,600
0.1,2,30,10,Unscaled,Gaussian,absolute_residual,0.8966666666666666,10.423808513819754,3.228592342464399,0.0,True,2400,600
0.1,2,30,11,TSCP_R,Gaussian,absolute_residual,0.95,10.168146887122488,4.062830803446066,0.0,True,2400,600
0.1,2,30,11,Point_CHR,Gaussian,absolute_residual,0.9033333333333333,7.649675492995649,3.675739748514358,0.0009982585906982422,True,2400,600
0.1,2,30,11,Unscaled,Gaussian,absolute_residual,0.9,10.454475823940511,3.233338185829084,0.0,True,2400,600
0.1,2,30,12,TSCP_R,Gaussian,absolute_residual,0.93,8.982246703905274,4.114357106120279,0.0010073184967041016,True,2400,600
0.1,2,30,12,Point_CHR,Gaussian,absolute_residual,0.9666666666666667,15.669917138691487,4.3525835636554815,0.0,True,2400,600
0.1,2,30,12,Unscaled,Gaussian,absolute_residual,0.8533333333333334,7.74374713588625,2.782758907251264,0.0,True,2400,600
0.1,2,30,13,TSCP_R,Gaussian,absolute_residual,0.9066666666666666,9.213409873262925,3.3017968689328603,0.0009946823120117188,True,2400,600
0.1,2,30,13,Point_CHR,Gaussian,absolute_residual,0.99,20.117217290463905,5.126024572920013,0.0009999275207519531,True,2400,600
0.1,2,30,13,Unscaled,Gaussian,absolute_residual,0.9033333333333333,10.261169774230902,3.2033060693962576,0.0,True,2400,600
0.1,2,30,14,TSCP_R,Gaussian,absolute_residual,0.88,7.378247312410244,3.5850142512710184,0.0009965896606445312,True,2400,600
0.1,2,30,14,Point_CHR,Gaussian,absolute_residual,0.9483333333333334,14.039287852166787,4.087206893885542,0.0,True,2400,600
0.1,2,30,14,Unscaled,Gaussian,absolute_residual,0.8166666666666667,8.671324260639356,2.944711235527069,0.0,True,2400,600
0.1,2,30,15,TSCP_R,Gaussian,absolute_residual,0.855,7.180576780403138,4.6018164386102685,0.0010075569152832031,True,2400,600
0.1,2,30,15,Point_CHR,Gaussian,absolute_residual,0.8316666666666667,8.626657680984481,6.108969609007245,0.0,True,2400,600
0.1,2,30,15,Unscaled,Gaussian,absolute_residual,0.975,19.46132833187089,4.4114995559187005,0.0,True,2400,600
0.1,2,30,16,TSCP_R,Gaussian,absolute_residual,0.865,7.01539306082888,3.3467217494706416,0.0009992122650146484,True,2400,600
0.1,2,30,16,Point_CHR,Gaussian,absolute_residual,0.9316666666666666,9.559090435617764,4.382135652907498,0.0,True,2400,600
0.1,2,30,16,Unscaled,Gaussian,absolute_residual,0.8233333333333334,7.358339487406312,2.7126259394554038,0.0,True,2400,600
0.1,2,30,17,TSCP_R,Gaussian,absolute_residual,0.94,8.303257277604063,4.1206046664918645,0.0009989738464355469,True,2400,600
0.1,2,30,17,Point_CHR,Gaussian,absolute_residual,0.9716666666666667,11.592673752663792,4.650299190109273,0.0009930133819580078,True,2400,600
0.1,2,30,17,Unscaled,Gaussian,absolute_residual,0.9283333333333333,12.418780649983079,3.5240290364841034,0.0,True,2400,600
0.1,2,30,18,TSCP_R,Gaussian,absolute_residual,0.9166666666666666,8.520406728364986,4.121425571500174,0.0,True,2400,600
0.1,2,30,18,Point_CHR,Gaussian,absolute_residual,0.9516666666666667,10.850153905900981,4.224922600297811,0.0010006427764892578,True,2400,600
0.1,2,30,18,Unscaled,Gaussian,absolute_residual,0.9383333333333334,13.840060894041562,3.7202232317485415,0.0,True,2400,600
0.1,2,30,19,TSCP_R,Gaussian,absolute_residual,0.9433333333333334,9.828812477088702,4.157336510909678,0.0010066032409667969,True,2400,600
0.1,2,30,19,Point_CHR,Gaussian,absolute_residual,0.9833333333333333,14.732849556051397,5.676781397781525,0.0009963512420654297,True,2400,600
0.1,2,30,19,Unscaled,Gaussian,absolute_residual,0.9216666666666666,12.740072559249462,3.569323823814458,0.0,True,2400,600
0.1,2,30,20,TSCP_R,Gaussian,absolute_residual,0.86,7.229284691406487,3.7258675672194874,0.0010082721710205078,True,2400,600
0.1,2,30,20,Point_CHR,Gaussian,absolute_residual,0.8866666666666667,7.840569981293286,4.105056747301896,0.0,True,2400,600
