alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,10,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,18.72885228466761,4.970835581205311,18.45007892794859
0.1,10,10,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,17.39579629141454,5.268397650734989,16.882322381686457
0.1,10,10,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,15.289157013259915,4.008088445336707,14.63254562776762
0.1,10,10,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,13.408160696105867,4.032835318745586,13.233712625891748
0.1,10,10,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,11.358423210107933,3.534032657802405,11.186262943393052
0.1,10,10,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,8.760612898417696,2.3248895773378275,8.601941391236046
0.1,10,10,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,7.563524327661366,2.0211350942262505,7.354777352708254
0.1,10,10,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,5.728866053171726,1.5883226369950718,5.647086101497603
0.1,10,10,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,3.76878748606974,1.023094607346964,3.6962328800338207
0.1,10,10,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,1.8834025114393262,0.4988670100937156,1.8150254606877994
0.1,10,10,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,inf,,inf
0.1,10,10,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,39.66140832234035,15.020406793710237,36.853285174142854
